SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
7.400691,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.390442,2.534334,-1,0,0,3.296754,-0.08904267,1.661173,-0.6162568,0.2827752,-0.08212072,0.9556643,0.9867054,0.973009,0,2.954143,3.333812,3.143977,1,1,1,1,1,1,0
7.400691,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.319368,2.262761,-1,0,0,3.041268,-0.08679351,1.657371,-0.6130304,0.3057908,-0.1111389,0.9455898,0.9999598,0.9999184,0,2.954143,3.333812,3.143977,1,1,1,1,1,0,0
7.420691,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.295693,2.210645,-1,0,0,2.994125,-0.08623092,1.657277,-0.6125098,0.3104176,-0.1207643,0.9428982,0.9999794,0.9999582,0,2.954143,3.333812,3.143977,1,1,1,1,1,0,0.01999998
7.473228,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.202308,2.098624,-1,0,0,2.900492,-0.08444632,1.656815,-0.6116806,0.3198231,-0.1567,0.9344294,0.9999932,0.9999863,0,2.954143,3.333812,3.143977,1,1,1,1,1,0,0.0725379
7.525919,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.149896,2.029952,-1,0,0,2.844155,-0.08262467,1.656774,-0.6110982,0.3255176,-0.1782174,0.9285886,0.9999986,0.9999971,0,2.954143,3.333812,3.143977,1,1,1,1,1,0,0.1252289
7.585083,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.116811,1.954569,-1,0,0,2.779572,-0.08071411,1.656679,-0.6107672,0.3323937,-0.1942271,0.9229249,0.9999997,0.9999994,0,3.723652,3.689251,3.706452,1,1,1,1,1,0,0.184392
7.637952,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.090823,1.921973,-1,0,0,2.753866,-0.07944174,1.656122,-0.6104066,0.3350343,-0.2052746,0.9195729,0.9999999,0.9999999,0,3.193362,3.850116,3.521739,1,1,1,1,1,0,0.2372618
7.703942,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.079348,1.951315,-1,0,0,2.782702,-0.07924628,1.654738,-0.6102189,0.3314923,-0.2067736,0.9205202,0.9999999,0.9999999,0,3.206668,3.862839,3.534753,1,1,1,1,1,0,0.3032513
7.761171,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.052189,1.997094,-1,0,0,2.830703,-0.07973938,1.653423,-0.610506,0.3260453,-0.2123972,0.9211851,0.9999999,0.9999999,0,3.224569,3.893419,3.558994,1,1,1,1,1,0,0.3604808
7.815766,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.010173,2.098603,-1,0,0,2.934379,-0.08075698,1.653265,-0.6112529,0.3148724,-0.2191577,0.9234854,0.9999999,0.9999999,0,3.230708,3.879857,3.555282,1,1,1,1,1,0,0.4150758
7.871376,Default,CortarCacau,Wall,17664,Barrier,0.8431981,0.9891657,2.206024,-1,0,0,3.039543,-0.08179102,1.654271,-0.6119277,0.3043184,-0.2188176,0.9270971,0.9999999,0.9999999,0,3.217403,3.863563,3.540483,1,1,1,1,1,0,0.4706855
7.925729,Default,CortarCacau,Wall,17664,Barrier,0.8431979,0.9452727,2.816882,-1,0,0,3.622334,-0.08300198,1.656227,-0.6121119,0.2556915,-0.1962698,0.9466256,0.9999999,0.9999999,0,3.203201,3.849136,3.526169,1,1,1,1,1,0,0.5250387
7.981603,Default,CortarCacau,Wall,17664,Barrier,0.8431978,0.6784193,4.110873,-1,0,0,4.911504,-0.08468608,1.657683,-0.6117263,0.1889206,-0.1993816,0.9615384,0.9999999,0.9999999,0,3.198366,3.796422,3.497394,1,1,1,1,1,0,0.5809126
8.052735,Default,CortarCacau,Wood,17662,Barrier,0.8425159,0.6331168,4.26438,0,-1.892749E-07,-0.9999999,5.067984,-0.08737871,1.658071,-0.6109904,0.1834841,-0.2022409,0.9619939,0.9999999,0.9999999,0,3.19189,3.84095,3.516419,1,1,1,1,1,1,0
8.116576,Default,CortarCacau,Wood,17662,Barrier,0.772614,0.6142575,4.293529,-1,0,0,5.087286,-0.09050391,1.65807,-0.610139,0.1696618,-0.2051814,0.9639064,0.9999999,0.9999999,0,3.21324,3.817641,3.51544,1,1,1,1,1,0,0.06384087
8.171537,Default,CortarCacau,Wall,17664,Barrier,0.7092226,0.5863372,4.357418,4.20458E-07,0,-1,5.14431,-0.09360854,1.657715,-0.6096265,0.1560619,-0.2082646,0.9655415,0.9999999,0.9999999,0,3.187691,3.849555,3.518623,1,1,1,1,1,1,0
8.240831,Default,CortarCacau,Wall,17664,Barrier,0.6344185,0.5695999,4.357419,4.20458E-07,0,-1,5.136466,-0.09752794,1.656798,-0.6090221,0.1425,-0.2116627,0.9668985,0.9999999,0.9999999,0,3.238422,3.872482,3.555452,1,1,1,1,1,0,0.06929398
8.316115,Default,CortarCacau,Wall,17664,Barrier,0.08025384,0.6350917,4.357418,4.20458E-07,0,-1,5.072342,-0.1000536,1.656253,-0.6077992,0.03554714,-0.2013195,0.9788805,0.9999999,0.9999999,0,3.28634,3.847004,3.566672,1,1,1,1,1,0,0.144578
8.382898,Default,CortarCacau,Wall,17664,Barrier,-0.4257252,0.630967,4.357418,4.20458E-07,0,-1,5.077598,-0.1019294,1.657747,-0.6047266,-0.06376945,-0.2022178,0.9772623,0.9999999,0.9999999,0,3.514651,3.762438,3.638545,1,1,1,1,1,0,0.2113609
8.453611,Default,CortarCacau,Wall,17664,Barrier,-0.4918796,0.5997548,4.357418,4.20458E-07,0,-1,5.087868,-0.1037122,1.657266,-0.6041747,-0.07629271,-0.2078495,0.975181,0.9999999,0.9999999,0,3.43043,3.589138,3.509784,1,1,1,1,1,0,0.282074
8.516259,Default,CortarCacau,Wall,17664,Barrier,-0.5268301,0.6104915,4.357418,4.20458E-07,0,-1,5.087884,-0.1053019,1.657516,-0.603693,-0.08284926,-0.2057878,0.9750833,0.9999999,0.9999999,0,3.285769,3.498473,3.392121,1,1,1,1,1,0,0.3447218
8.59514,Default,CortarCacau,Wall,17664,Barrier,-0.5617486,0.5828977,4.357418,4.20458E-07,0,-1,5.095128,-0.1075257,1.656509,-0.6025589,-0.08914842,-0.2107134,0.9734744,0.9999999,0.9999999,0,3.193165,3.409606,3.301385,1,1,1,1,1,0,0.4236031
8.662129,Default,CortarCacau,Wall,17664,Barrier,-0.6095035,0.526147,4.357418,4.20458E-07,0,-1,5.109926,-0.1094002,1.654779,-0.6011535,-0.09786889,-0.2208704,0.9703803,0.9999999,0.9999999,0,3.17584,3.279142,3.227491,1,1,1,1,1,0,0.490592
8.731057,Default,CortarCacau,Wall,17664,Barrier,-0.665388,0.5079748,4.104704,0.9999999,0,0,4.872238,-0.1114233,1.652174,-0.598767,-0.1136982,-0.2348406,0.9653614,0.9999999,0.9999999,0,3.055571,3.236195,3.145883,1,1,1,1,1,0,0.5595198
8.797241,Default,CortarCacau,Wood,17662,Barrier,-0.6601964,0.430794,3.883026,0,1,0,4.673906,-0.112811,1.64765,-0.5963764,-0.1171152,-0.260351,0.9583848,0.9999999,0.9999999,0,2.941757,3.091216,3.016487,1,1,1,1,1,1,0
8.873112,Default,CortarCacau,Wood,17662,Barrier,-0.6441714,0.430794,3.680581,0,1,0,4.474223,-0.1136245,1.642498,-0.5936402,-0.1185785,-0.2708188,0.955299,0.9999999,0.9999999,0,2.891006,2.995862,2.943434,1,1,1,1,1,0,0.07587051
8.939806,Default,CortarCacau,Checker,17748,Floor,-0.6150234,0.4,3.77393,0,1,0,4.564806,-0.11414,1.639382,-0.5907576,-0.1097272,-0.2715081,0.9561607,0.9999999,0.9999999,0,2.813241,2.923684,2.868463,1,1,1,1,1,1,0
9.009256,Default,CortarCacau,Checker,17748,Floor,-0.5534839,0.4,3.710728,0,1,0,4.494205,-0.1145911,1.63568,-0.5879159,-0.0976575,-0.2749498,0.9564861,0.9999999,0.9999999,0,2.788773,2.893492,2.841133,1,1,1,1,1,0,0.06945038
9.076087,Default,CortarCacau,Checker,17748,Floor,-0.6011363,0.4,3.598295,0,1,0,4.38819,-0.115683,1.632725,-0.5851167,-0.1106272,-0.2809188,0.9533343,0.9999999,0.9999999,0,2.751932,2.910009,2.83097,1,1,1,1,1,0,0.136281
9.154179,Default,CortarCacau,Checker,17748,Floor,-0.2577196,0.4,2.313734,0,1,0,3.148917,-0.1170349,1.628307,-0.5823236,-0.04467715,-0.3900727,0.9196995,0.9999999,0.9999999,0,2.726596,2.897486,2.812041,1,1,1,1,1,0,0.2143726
9.217689,Default,CortarCacau,Checker,17748,Floor,-0.2414005,0.4,2.03766,0,1,0,2.892653,-0.1176612,1.624015,-0.5803394,-0.04277706,-0.4231461,0.9050511,0.9999999,0.9999999,0,2.704445,2.894933,2.799689,1,1,1,1,1,0,0.2778826
9.28644,Default,CortarCacau,Checker,17748,Floor,-0.2270392,0.4,2.016215,0,1,0,2.868376,-0.1174751,1.619134,-0.5778731,-0.03819726,-0.4250259,0.9043749,0.9999999,0.9999999,0,2.646494,2.84384,2.745167,1,1,1,1,1,0,0.3466339
9.354938,Default,CortarCacau,Checker,17748,Floor,-0.3199571,0.4,1.811116,0,1,0,2.685118,-0.1160049,1.61166,-0.576381,-0.07595651,-0.45125,0.8891592,0.7999999,0.6399999,0,3.585425,3.05645,3.320938,1,1,1,1,1,0,0.4151316
9.430602,Default,CortarCacau,Checker,17748,Floor,-0.2500096,0.4,1.364109,0,1,0,2.284786,-0.1125053,1.597695,-0.5767331,-0.06018255,-0.5242044,0.8494632,0.35685,0.2097152,1,3.585425,3.05645,3.320938,1,1,1,1,1,0,0.4907961
9.496435,Default,CortarCacau,Checker,17748,Floor,-0.1995161,0.4,1.085842,0,1,0,2.044553,-0.1085985,1.586031,-0.5770658,-0.04446823,-0.580093,0.8133356,0.8920974,0.8342652,0,3.585425,3.05645,3.320938,1,1,1,1,1,0,0.5566292
9.566619,Default,CortarCacau,Checker,17748,Floor,-0.1803823,0.4,0.8938169,0,1,0,1.884617,-0.104764,1.575972,-0.5769496,-0.04012395,-0.6239846,0.7804059,0.9818969,0.9721943,0,3.585425,3.05645,3.320938,1,1,1,1,1,0,0.6268129
9.643143,Default,CortarCacau,Checker,17748,Floor,-0.187667,0.4,0.7793844,0,1,0,1.792363,-0.1016689,1.568983,-0.5765837,-0.04798026,-0.652202,0.7565253,0.9962035,0.9941687,0,3.585425,3.05645,3.320938,1,1,1,1,1,0,0.7033367
9.722254,Default,CortarCacau,Checker,17748,Floor,-0.1971586,0.4,0.719131,0,1,0,1.743678,-0.0993713,1.56402,-0.5754375,-0.05608106,-0.6675661,0.7424355,0.9995924,0.9993739,0,3.585425,3.05645,3.320938,1,1,1,1,1,0,0.7824478
9.788999,Default,CortarCacau,Checker,17748,Floor,-0.1197072,0.4,0.6395018,0,1,0,1.679462,-0.09764373,1.559839,-0.5749446,-0.01313719,-0.6906014,0.7231163,0.9999316,0.999895,0,3.585425,3.05645,3.320938,1,1,1,1,1,0,0.8491926
9.863554,Default,CortarCacau,Checker,17748,Floor,-0.1330356,0.4,0.4177809,0,1,0,1.523768,-0.0949212,1.554315,-0.5761873,-0.02501325,-0.7575399,0.6523095,0.9999908,0.9999859,0,3.585425,3.05645,3.320938,1,1,1,1,1,0,0.923748
9.94153,Default,CortarCacau,Checker,17748,Floor,-0.1315807,0.4,0.3111019,0,1,0,1.458634,-0.0917157,1.551989,-0.5827357,-0.02733034,-0.7897723,0.6127909,0.9999987,0.9999981,0,3.585425,3.05645,3.320938,1,1,1,1,1,0,1.001724
10.00981,Default,CortarCacau,Checker,17748,Floor,-0.1410482,0.4,0.3460939,0,1,0,1.48537,-0.08898368,1.55377,-0.5879445,-0.03505158,-0.776756,0.6288254,0.9999998,0.9999996,0,3.130414,3.174814,3.152614,1,1,1,1,1,0,1.070003
10.0894,Default,CortarCacau,Checker,17748,Floor,-0.1198616,0.4,0.2942042,0,1,0,1.457322,-0.08528222,1.554487,-0.5944762,-0.02372804,-0.7921972,0.6098037,0.9999999,0.9999999,0,3.05796,3.264283,3.161121,1,1,1,1,1,0,1.149595
10.16585,Default,CortarCacau,Checker,17748,Floor,-0.06353706,0.4,0.3843987,0,1,0,1.518547,-0.08116451,1.554482,-0.6019303,0.01160808,-0.7602544,0.6495218,0.9999999,0.9999999,0,3.016554,3.233181,3.124867,1,1,1,1,1,0,1.226044
10.23304,Default,CortarCacau,Checker,17748,Floor,-0.07049519,0.4,0.3690441,0,1,0,1.511659,-0.07823965,1.553544,-0.6078836,0.005123185,-0.7630982,0.6462622,0.9999999,0.9999999,0,2.975754,3.171949,3.073852,1,1,1,1,1,0,1.293237
10.31159,Default,CortarCacau,Checker,17748,Floor,-0.06982863,0.4,0.392698,0,1,0,1.52976,-0.07593567,1.552308,-0.61344,0.003992142,-0.7532606,0.6577101,0.9999999,0.9999999,0,2.854838,3.076048,2.965443,1,1,1,1,1,0,1.371789
10.3882,Default,CortarCacau,Checker,17748,Floor,-0.07811451,0.4,0.4347386,0,1,0,1.560239,-0.07509923,1.551388,-0.6181816,-0.001932574,-0.7379565,0.6748456,0.9999999,0.9999999,0,2.852689,3.014695,2.933692,1,1,1,1,1,0,1.448396
10.4553,Default,CortarCacau,Checker,17748,Floor,-0.0768109,0.4,0.4726493,0,1,0,1.588283,-0.07525674,1.551069,-0.6217358,-0.0009785368,-0.7247257,0.6890367,0.9999999,0.9999999,0,2.82946,2.931596,2.880528,1,1,1,1,1,0,1.515495
10.53368,Default,CortarCacau,Checker,17748,Floor,-0.07662672,0.4,0.5126889,0,1,0,1.619002,-0.07646,1.55135,-0.6255383,-0.0001029572,-0.7111478,0.7030424,0.9999999,0.9999999,0,2.770476,2.910937,2.840706,1,1,1,1,1,0,1.593874
10.59969,Default,CortarCacau,Checker,17748,Floor,-0.07417601,0.4,0.5448196,0,1,0,1.64404,-0.07804751,1.551718,-0.6283807,0.002354872,-0.7005412,0.713608,0.9999999,0.9999999,0,2.766212,2.871335,2.818774,1,1,1,1,1,0,1.659888
10.67886,Default,CortarCacau,Checker,17748,Floor,-0.07009733,0.4,0.5751812,0,1,0,1.668161,-0.08063307,1.552068,-0.6312133,0.006315777,-0.6906219,0.7231885,0.9999999,0.9999999,0,2.716834,2.832996,2.774915,1,1,1,1,1,0,1.739058
10.74445,Default,CortarCacau,Checker,17748,Floor,-0.072869,0.4,0.5940087,0,1,0,1.682904,-0.08260147,1.552051,-0.6327143,0.005783158,-0.6845616,0.7289321,0.9999999,0.9999999,0,2.776274,2.883549,2.829911,1,1,1,1,1,0,1.804641
10.82307,Default,CortarCacau,Checker,17748,Floor,-0.08314419,0.4,0.6065221,0,1,0,1.693406,-0.08550756,1.551491,-0.6351249,0.001395653,-0.6799852,0.7332245,0.9999999,0.9999999,0,2.746624,2.884792,2.815708,1,1,1,1,1,0,1.883261
10.89128,Default,CortarCacau,Checker,17748,Floor,-0.08496284,0.4,0.615135,0,1,0,1.700789,-0.08806686,1.55126,-0.6367733,0.001825056,-0.6768975,0.736075,0.9999999,0.9999999,0,2.798816,2.900092,2.849454,1,1,1,1,1,0,1.951473
10.9731,Default,CortarCacau,Checker,17748,Floor,-0.08126694,0.4,0.6341219,0,1,0,1.715748,-0.0910996,1.551521,-0.6377642,0.00573083,-0.6711481,0.7413011,0.9999999,0.9999999,0,2.844132,2.967617,2.905874,1,1,1,1,1,0,2.033294
