SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
15.80435,Default,CortarCacau,Wall,23926,Barrier,support,-0.1482823,1.114984,4.357418,4.20458E-07,0,-1,5.059021,0.1121387,1.685401,-0.6625913,-0.05147654,-0.1127524,0.9922888,0,0,1,3.270891,3.22646,3.248675,1,1,1,1,1,0,15.80435
15.80435,Default,CortarCacau,Wall,23926,Barrier,support,-0.1482823,1.114984,4.357418,4.20458E-07,0,-1,5.059021,0.1121387,1.685401,-0.6625913,-0.05147654,-0.1127524,0.9922888,0,0,1,3.270891,3.22646,3.248675,1,1,1,1,1,0,15.80435
15.82435,Default,CortarCacau,Wall,23926,Barrier,support,-0.1482823,1.114984,4.357418,4.20458E-07,0,-1,5.059021,0.1121387,1.685401,-0.6625913,-0.05147654,-0.1127524,0.9922888,0,0,1,3.270891,3.22646,3.248675,1,1,1,1,1,0,15.82435
15.8897,Default,CortarCacau,Wall,23926,Barrier,support,-0.2610999,1.439506,4.357418,4.20458E-07,0,-1,5.037832,0.1113683,1.683262,-0.6607086,-0.07393419,-0.0483852,0.9960887,0.5233218,0,1,3.270891,3.22646,3.248675,1,1,1,1,1,0,15.8897
15.94602,Default,CortarCacau,Wall,23926,Barrier,support,0.01732481,1.414331,4.357418,4.20458E-07,0,-1,5.02626,0.110507,1.682549,-0.6608157,-0.01853903,-0.05336341,0.998403,0.8750417,0,1,3.270891,3.22646,3.248675,1,1,1,1,1,0,15.94602
16.01295,Default,CortarCacau,Wall,23926,Barrier,support,0.3904985,1.657511,4.357419,4.20458E-07,0,-1,5.020609,0.1084672,1.677569,-0.6552229,0.05617471,-0.003995154,0.9984129,0.9737943,0.488003,0,3.270891,3.22646,3.248675,1,1,1,1,1,0,16.01295
16.07003,Default,CortarCacau,Wall,23926,Barrier,support,0.5138237,1.654306,4.357418,4.20458E-07,0,-1,5.029377,0.1078665,1.676405,-0.6554996,0.08071724,-0.004394025,0.9967274,0.9931303,0.865783,0,3.270891,3.22646,3.248675,1,1,1,1,1,0,16.07003
16.13655,Default,CortarCacau,Wall,23926,Barrier,support,0.6411778,1.65534,4.357418,4.20458E-07,0,-1,5.041588,0.1070795,1.674832,-0.6557612,0.1059385,-0.00386635,0.9943652,0.9988475,0.9774821,0,3.270891,3.22646,3.248675,1,1,1,1,1,0,16.13655
16.19389,Default,CortarCacau,Wood,23924,Barrier,support,0.772614,1.638697,4.315867,-1,0,0,5.016588,0.1066647,1.67373,-0.6561995,0.1327495,-0.006983932,0.991125,0.9997583,0.9952776,0,3.270891,3.22646,3.248675,1,1,1,1,1,1,0
16.26113,Default,CortarCacau,Wall,23926,Barrier,support,0.8431979,1.614613,3.945863,-1,0,0,4.661974,0.1057124,1.674067,-0.6570253,0.1581917,-0.012753,0.987326,0.9999595,0.9992077,0,3.270891,3.22646,3.248675,1,1,1,1,1,1,0
