SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
36.25212,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.426774,1.704447,1,0,0,2.779803,2.426647,3.313118,0.2105703,-0.500713,-0.6785894,0.5374039,0.9999999,0.9999999,0,3.587499,3.091169,3.339334,1,1,1,1,1,1,0
36.25212,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.9411631,1.66136,1,0,0,2.065127,2.424465,1.40619,0.2062898,-0.6729375,-0.2251808,0.7045912,0.9949311,0.9999999,0,3.682497,3.123878,3.403188,1,1,1,1,1,0,0
36.27212,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.9217631,1.669699,1,0,0,2.07531,2.424361,1.406288,0.2064276,-0.6695855,-0.2334711,0.7050862,0.9967559,0.9999999,0,3.698049,3.128118,3.413084,1,1,1,1,1,0,0.02000046
36.33208,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.8451507,1.610705,1,0,0,2.053,2.423948,1.407051,0.2074057,-0.6766604,-0.2736972,0.6835355,0.9993197,0.9999999,0,3.720381,2.899618,3.309999,1,1,1,1,1,0,0.07996368
36.39653,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.8429931,1.613783,1,0,0,2.054871,2.423781,1.407801,0.2087494,-0.6759631,-0.2748627,0.6837575,0.9998573,0.9999999,0,3.782718,2.985881,3.3843,1,1,1,1,1,0,0.1444092
36.46569,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.8548958,1.607614,1,0,0,2.046871,2.424013,1.407976,0.2098406,-0.6787181,-0.2702078,0.6828831,0.999976,0.9999999,0,3.716558,3.003867,3.360212,1,1,1,1,1,0,0.2135658
36.51878,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.8787321,1.612718,1,0,0,2.043793,2.424248,1.407794,0.2103914,-0.6798552,-0.2588629,0.6861391,0.9999937,0.9999999,0,3.850269,3.031974,3.441121,1,1,1,1,1,0,0.2666588
36.58879,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.8822552,1.606108,1,0,0,2.038138,2.424458,1.407651,0.2108593,-0.6818447,-0.2577823,0.6845701,0.9999989,0.9999999,0,3.793905,3.014408,3.404156,1,1,1,1,1,0,0.3366661
36.65284,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.8788439,1.595868,1,0,0,2.031589,2.424415,1.407804,0.2115182,-0.6840216,-0.2603678,0.6814126,0.9999998,0.9999999,0,3.624762,2.912425,3.268594,1,1,1,1,1,0,0.4007225
36.71936,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.8860466,1.571642,1,0,0,2.01257,2.424283,1.408276,0.2126155,-0.6904199,-0.259484,0.6752692,0.9999999,0.9999999,0,3.487884,2.743559,3.115722,1,1,1,1,1,0,0.4672432
36.78633,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.9348192,1.516624,1,0,0,1.962912,2.424347,1.408384,0.2136205,-0.7079193,-0.2412565,0.6638114,0.9999999,0.9999999,0,3.372189,2.614678,2.993433,1,1,1,1,1,0,0.5342064
36.85286,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.9401951,1.51893,1,0,0,1.962892,2.424705,1.408073,0.2142839,-0.7081084,-0.2383615,0.664655,0.9999999,0.9999999,0,3.210922,2.519563,2.865242,1,1,1,1,1,0,0.6007423
36.91911,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.9386749,1.51742,1,0,0,1.962072,2.425238,1.407728,0.2149999,-0.7086765,-0.2390602,0.663798,0.9999999,0.9999999,0,3.188203,2.473044,2.830623,1,1,1,1,1,0,0.6669884
36.9879,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,0.938548,1.503879,1,0,0,1.952713,2.425631,1.407827,0.2161069,-0.712274,-0.2403215,0.6594782,0.9999999,0.9999999,0,3.149624,2.469669,2.809647,1,1,1,1,1,0,0.735775
