window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
7.4007,9.4007,CortarCacau,33,0.0354,3.2796,4.5233,3.5606,0.7589,0.0000,1.1954,1.0000,0
9.4007,11.4007,CortarCacau,27,-0.1982,3.0739,4.5233,4.5000,1.8941,0.0000,0.0000,1.0000,0
11.4007,13.4007,CortarCacau,27,-0.1350,3.1393,4.5233,4.7222,1.9498,0.0000,0.0000,1.0000,0
13.4007,15.4007,CortarCacau,28,-0.4562,2.8090,4.5233,5.0000,1.7910,0.0000,0.1581,1.0000,0
15.4007,17.4007,CortarCacau,34,-0.3301,2.9175,4.3473,4.0882,0.8029,0.0000,1.1318,1.0000,0
17.4007,19.4007,CortarCacau,38,-0.9451,2.2877,4.3169,2.5000,0.0000,0.0000,1.9368,0.3158,0
19.4007,21.4007,CortarCacau,42,-0.6355,2.6290,4.3169,2.5000,1.6597,0.0000,0.2789,0.1429,0
21.4007,23.4007,CortarCacau,44,-1.2520,2.0215,4.0128,3.0568,1.9840,0.0000,0.0000,0.0000,0
23.4007,25.4007,CortarCacau,42,-1.0077,2.2653,3.9114,2.8929,1.9153,0.0000,0.0000,0.0476,0
25.4007,27.4007,CortarCacau,44,-0.6044,2.6674,3.9114,2.5000,1.9712,0.0000,0.0000,0.2500,0
27.4007,29.4007,CortarCacau,45,-0.2698,2.9723,3.7172,2.5000,0.4362,0.0000,1.5125,0.2000,0
29.4007,31.4007,CortarCacau,47,-0.6571,2.6138,3.7128,2.5000,1.9470,0.0000,0.0000,0.0000,0
31.4007,33.4007,CortarCacau,48,-0.8884,2.3847,3.8083,1.7812,1.9488,0.0000,0.0000,0.0000,0
33.4007,35.4007,CortarCacau,48,-0.8377,2.4354,3.9540,0.2396,1.9602,0.0000,0.0000,0.0000,0
35.4007,37.4007,CortarCacau,48,-0.7826,2.4904,3.9540,0.0104,1.9490,0.0000,0.0000,0.0000,0
37.4007,39.4007,CortarCacau,48,-0.8116,2.4615,3.7121,1.0000,1.9602,0.0000,0.0000,0.0000,0
39.4007,41.4007,CortarCacau,48,-0.7311,2.5420,3.6839,1.0000,1.9744,0.0000,0.0000,0.0000,0
41.4007,43.4007,CortarCacau,49,-0.4490,2.8239,3.8073,1.0000,1.9827,0.0000,0.0000,0.0000,0
43.4007,45.4007,CortarCacau,48,-0.6535,2.6195,3.9861,1.0000,1.9472,0.0000,0.0000,0.0000,0
45.4007,47.4007,CortarCacau,48,-0.7985,2.4746,3.9861,0.9688,1.9591,0.0000,0.0000,0.0000,0
47.4007,49.4007,CortarCacau,44,-0.9142,2.3589,4.4707,0.2159,1.9382,0.0000,0.0000,0.0000,0
49.4007,51.4007,CortarCacau,40,-0.6396,2.6335,4.5192,2.1750,1.9828,0.0000,0.0000,0.6750,0
51.4007,53.4007,CortarCacau,39,-0.0395,3.2339,4.5192,2.5000,1.9041,0.0000,0.0000,1.0000,0
53.4007,55.4007,CortarCacau,39,0.0909,3.3557,3.6960,2.5000,1.5376,0.0000,0.4333,0.0256,0
55.4007,57.4007,CortarCacau,40,0.0977,3.3643,3.6743,2.5000,1.8092,0.0000,0.1663,0.0000,0
57.4007,59.4007,CortarCacau,38,-0.2302,3.0432,3.6743,2.8947,1.9188,0.0000,0.0000,0.0000,0
59.4007,61.4007,CortarCacau,39,-0.2943,2.9787,4.1772,5.6026,1.9724,0.0000,0.0000,0.8974,0
61.4007,63.4007,CortarCacau,41,-0.3793,2.8940,4.2347,5.1341,1.9729,0.0000,0.0000,1.0000,0
63.4007,65.4007,CortarCacau,45,-0.6334,2.6336,4.2421,5.5111,1.6929,0.0000,0.2339,1.0000,0
65.4007,67.4007,CortarCacau,41,-0.2862,2.9634,4.5713,7.9634,0.9070,0.0000,1.0639,1.0000,0
67.4007,69.4007,CortarCacau,39,-0.5352,2.7054,4.5713,9.4103,0.0000,0.8905,1.0466,1.0000,0
