SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime,AvgPupil_raw,EffectiveLuminance,PredictedPupil,ResidualPupil,VOICategory,GazeEntropy,TargetSwitchRate,FixationId,KCoefficient,RescueSaccade,ConfusionScore,Confusion
245.4308,Default,Formar,Writebook_5,-510,Default,tutorial,-2.003635,1.418596,0.8522276,-0.6307209,-0.6307209,-0.4520873,4.932253,-6.90352,2.231184,2.053416,0.9294989,-0.2286883,-0.2893671,0.9999999,0.9999999,False,3.349272,3.19551,3.272391,True,True,True,True,True,True,0.0,3.272391,0.425,2.8654404,0.4069507,tutorial,3.8606076,7.5,352,0.15918057,True,0.47212154,False
252.0128,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180471,1.595358,0.9974023,-0.852528,-0.5226817,1.490116e-07,4.116061,-6.233294,2.287658,2.694633,0.8810753,-0.2316877,-0.4123434,0.9997624,0.9991172,False,3.248383,2.039782,2.644082,True,True,True,True,True,False,0.03077698,2.644082,0.425,2.8655689,-0.2214868,tutorial,3.6782517,9.0,365,-0.7564413,True,0.5869386,True
252.828,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180586,1.595546,0.9825349,-0.7402672,-0.6723132,0.0,4.657127,-7.012217,2.227301,1.902869,0.9579936,-0.2078346,-0.1976185,0.9999999,0.9999999,False,2.159882,2.094631,2.127257,True,True,True,True,True,False,0.2017059,2.127257,0.425,2.863319,-0.7360618,tutorial,3.6782517,7.5,368,-0.047191575,True,0.44508865,False
254.9194,Default,Formar,Paper_1,-470,Default,tutorial,0.0,0.0,0.0,-0.9115745,0.1670298,0.3756768,0.0,-7.039582,2.307096,1.971302,0.9115745,-0.1670298,-0.3756768,0.9999999,0.9999999,False,2.368114,2.985244,2.676679,True,True,True,True,True,False,0.04296875,2.676679,0.425,2.8638935,-0.18721461,tutorial,3.299772,6.5,371,0.051946744,True,0.4,False
263.9084,Default,Formar,Writebook_5,-510,Default,tutorial,-1.786887,1.201846,0.8801934,-0.7071068,-0.7071069,0.0,5.066462,-6.695922,2.224236,2.618985,0.8991447,-0.2715787,-0.3431965,0.8512787,0.32741,False,1.831961,3.359181,2.595571,True,True,True,True,True,False,0.04208374,2.595571,0.425,2.866018,-0.27044702,tutorial,4.0759516,5.5,387,-0.5491546,True,0.6250212,True
265.1778,Default,Formar,Writebook_5,-510,Default,tutorial,-1.695525,1.110484,1.360636,-0.7071068,-0.7071069,0.0,5.059482,-6.88078,2.168242,1.871725,0.9549797,-0.2789437,-0.101016,0.9999999,0.9999999,False,3.410026,3.290719,3.350372,True,True,True,True,True,True,0.0,3.350372,0.425,2.863625,0.48674703,tutorial,4.0759516,5.5,391,0.26085156,True,0.5151903,True
270.6696,Default,Formar,Writebook_5,-510,Default,tutorial,-2.01693,1.431889,1.203772,-0.7071068,-0.7071069,0.0,4.92149,-6.934561,2.225985,2.643618,0.9273773,-0.2331914,-0.2925629,0.9585212,0.9208795,False,3.589843,3.006726,3.298285,True,True,True,True,True,False,0.04431152,3.298285,0.425,2.8687963,0.42948866,tutorial,4.2657204,5.5,398,-1.31888,True,0.7531441,True
273.8766,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180585,1.595545,1.512157,-0.7607945,-0.4607819,0.4570253,4.519291,-6.944325,2.287948,2.339621,0.9699184,-0.2041901,-0.1325322,0.9999999,0.9999999,False,3.540928,2.811674,3.176301,True,True,True,True,True,False,0.1222534,3.176301,0.425,2.8634384,0.31286263,tutorial,4.0395594,10.0,403,-1.1152004,True,0.70791185,True
276.9736,Default,Formar,Writebook_5,-510,Default,tutorial,-1.647363,1.062328,1.51217,-0.6760135,-0.6760134,0.2932777,3.809491,-5.49865,2.194425,1.747551,0.9222441,-0.3859055,-0.02329501,0.9999999,0.9999999,False,3.42277,3.000717,3.211743,True,True,True,True,True,True,0.0,3.211743,0.425,2.8671935,0.34454966,tutorial,4.0395594,10.0,412,-0.2935948,True,0.56663084,True
277.6431,Default,Formar,Writebook_5,-510,Default,tutorial,-1.70711,1.12207,1.383189,-0.7071067,-0.707107,5.960464e-08,2.651575,-4.294568,2.196584,1.416989,0.8424822,-0.5385734,-0.01274687,0.9999999,0.9999999,False,3.529989,3.682413,3.606201,True,True,True,True,True,True,0.0,3.606201,0.425,2.8636198,0.7425811,tutorial,4.0395594,10.0,414,-2.3148627,True,0.70791185,True
