window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
36.2521,38.2521,CortarCacau,33,0.2356,3.0811,3.8044,8.2424,0.0000,0.6047,1.3908,0.0909,1
38.2521,40.2521,CortarCacau,29,0.0913,2.9456,3.8044,9.0000,0.0000,1.0279,0.7471,0.5172,1
40.2521,42.2521,CortarCacau,30,-0.1261,2.7349,3.8044,9.0000,0.0000,0.6007,0.1351,0.4333,1
42.2521,44.2521,CortarCacau,35,0.0683,2.9368,3.4420,9.1000,0.0000,0.2108,1.7698,0.2286,0
44.2521,46.2521,CortarCacau,36,-0.1252,2.7454,1.9926,8.8194,0.0000,0.0000,1.9151,0.2500,0
46.2521,48.2521,CortarCacau,41,-0.0632,2.8009,1.9926,6.4390,0.0000,0.0000,1.9929,0.0000,0
48.2521,50.2521,CortarCacau,39,-0.2733,2.5906,1.9877,4.5256,0.0000,0.0434,1.9027,0.0000,0
50.2521,52.2521,CortarCacau,38,-0.3866,2.4773,1.9288,3.5395,0.0000,0.0000,1.8906,0.0000,0
52.2521,54.2521,CortarCacau,41,-0.0907,2.7732,1.9288,3.0000,0.0000,0.8682,1.1130,0.0000,1
54.2521,56.2521,CortarCacau,43,-0.2443,2.6195,1.9762,3.6163,0.0000,0.6013,1.3604,0.0000,0
56.2521,58.2521,CortarCacau,42,-0.3561,2.5077,2.3365,4.0000,0.0000,0.0000,1.9277,0.0000,0
58.2521,60.2521,CortarCacau,42,-0.1447,2.7203,2.3365,3.7143,0.0000,0.0000,1.9406,0.0000,0
60.2521,62.2521,CortarCacau,45,-0.1842,2.6835,1.8511,2.3222,0.0000,0.0000,1.9711,0.0000,0
62.2521,64.2521,CortarCacau,48,-0.9891,1.8748,0.7764,2.0000,0.0000,0.0000,1.9926,0.0000,0
64.2521,66.2521,CortarCacau,47,-0.5326,2.3312,0.7764,1.7447,0.0000,0.0000,1.9356,0.0000,0
66.2521,68.2521,CortarCacau,48,-0.5308,2.3331,2.9561,0.2708,0.0000,0.0000,1.9599,0.0000,0
68.2521,70.2521,CortarCacau,47,-0.3024,2.5614,3.6041,0.0000,0.0000,0.0000,1.9250,0.0000,0
70.2521,72.2521,CortarCacau,48,-0.2969,2.5670,3.5927,0.0000,0.0000,0.0000,1.9710,0.0000,0
72.2521,74.2521,CortarCacau,48,-0.2011,2.6627,3.5585,0.0000,0.0000,0.0000,1.9718,0.0000,0
74.2521,76.2521,CortarCacau,47,-0.4159,2.4480,3.5585,0.9255,0.0000,0.0000,1.9374,0.0000,0
76.2521,78.2521,CortarCacau,47,-0.2247,2.6392,3.4556,2.0000,0.0000,0.0000,1.9498,0.0000,0
78.2521,80.2521,CortarCacau,46,-0.0728,2.7911,3.4163,2.0000,0.0000,0.0000,1.9731,0.0000,0
80.2521,82.2521,CortarCacau,41,-0.0670,2.7969,3.4332,2.0000,0.0000,1.3035,0.4128,0.0000,1
82.2521,84.2521,CortarCacau,40,0.0900,2.9539,4.1062,2.0000,0.0000,1.9601,0.0000,0.0000,0
84.2521,86.2521,CortarCacau,38,0.3711,3.2350,4.1062,1.9079,0.0000,1.9397,0.0000,0.0000,0
