window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
10.4957,12.4957,CortarCacau,34,0.0637,2.8542,3.7656,9.7500,1.9537,0.0000,0.0000,0.1765,0
12.4957,14.4957,CortarCacau,31,-0.0103,2.7755,3.7656,10.4677,0.8631,0.0000,1.0891,0.0968,0
14.4957,16.4957,CortarCacau,37,-0.1065,2.6753,3.7656,11.8243,1.1735,0.0000,0.7569,0.0811,0
16.4957,18.4957,CortarCacau,41,0.0993,2.8740,3.6525,11.4756,0.6667,0.0000,1.3015,0.3415,0
18.4957,20.4957,CortarCacau,47,0.0557,2.8329,3.5640,9.3298,0.8920,0.0000,1.0590,0.1702,0
20.4957,22.4957,CortarCacau,49,-0.1406,2.6240,3.5640,6.5918,0.0000,0.0000,1.9827,0.1224,0
22.4957,24.4957,CortarCacau,48,0.0101,2.7704,3.8257,4.9583,0.0000,0.0000,1.9468,0.1042,0
24.4957,26.4957,CortarCacau,49,-0.2314,2.5359,3.8313,5.3673,0.3984,0.0000,1.5623,0.1429,0
26.4957,28.4957,CortarCacau,39,0.0152,2.7918,3.5405,6.2564,0.6122,0.0000,1.2551,0.3590,0
28.4957,30.4957,CortarCacau,42,0.0436,2.8454,3.0754,8.0119,1.8922,0.0000,0.0990,0.1190,0
30.4957,32.4957,CortarCacau,42,-0.2728,2.5183,3.0754,10.3929,1.4169,0.0000,0.5136,0.0000,0
32.4957,34.4957,CortarCacau,43,-0.1853,2.6056,3.4318,11.3372,1.1699,0.0000,0.8001,0.0000,0
34.4957,36.4957,CortarCacau,40,-0.1310,2.6542,3.7720,10.3750,1.1915,0.0000,0.7597,0.1750,0
36.4957,38.4957,CortarCacau,40,-0.0087,2.7783,3.7720,9.5625,1.2583,0.0000,0.6832,0.1750,0
38.4957,40.4957,CortarCacau,39,-0.1247,2.6362,4.4432,9.8077,0.0000,0.0000,1.9127,0.6154,0
40.4957,42.4957,CortarCacau,39,-0.5618,2.1983,5.0186,8.3846,0.0000,0.0000,1.9490,1.0000,0
42.4957,44.4957,CortarCacau,38,-0.4858,2.2916,5.0186,6.9342,1.0126,0.0000,0.9345,1.0000,0
44.4957,46.4957,CortarCacau,38,0.0823,2.8709,5.2584,6.1711,0.9454,0.0000,0.9700,1.0000,0
46.4957,48.4957,CortarCacau,43,0.1665,2.9541,5.5882,7.4070,1.1497,0.0000,0.8219,1.0000,0
48.4957,50.4957,CortarCacau,44,0.4076,3.1960,5.5882,7.5227,1.4025,0.0000,0.5482,1.0000,0
50.4957,52.4957,CortarCacau,43,0.6063,3.3878,5.5025,6.7674,1.0374,0.0000,0.9026,1.0000,0
52.4957,54.4957,CortarCacau,44,0.3193,3.0822,5.4465,6.9091,0.0000,0.0000,1.9573,1.0000,0
54.4957,56.4957,CortarCacau,42,0.4588,3.2359,5.4465,7.3929,0.7379,0.0000,1.2105,1.0000,0
56.4957,58.4957,CortarCacau,46,0.5437,3.3298,4.4291,7.1957,1.0437,0.0000,0.9146,1.0000,0
58.4957,60.4957,CortarCacau,47,0.5424,3.3372,4.2149,7.5426,1.6380,0.0000,0.3084,1.0000,0
60.4957,62.4957,CortarCacau,48,-0.0056,2.7620,4.2149,7.6667,0.2882,0.0000,1.6908,1.0000,0
62.4957,64.4957,CortarCacau,44,0.1661,2.9281,4.2149,6.8977,0.0909,0.0000,1.8557,1.0000,0
64.4957,66.4957,CortarCacau,47,0.1503,2.9413,4.2149,5.5213,1.2701,0.2229,0.4293,1.0000,0
66.4957,68.4957,CortarCacau,38,0.6005,3.4052,4.2149,3.0000,1.9827,0.0000,0.0000,0.4211,0
68.4957,70.4957,CortarCacau,32,0.9897,3.7939,,2.0312,1.9280,0.0000,0.0000,0.0000,0
70.4957,72.4957,CortarCacau,6,1.0093,3.8134,,2.0000,0.3111,0.0000,0.0000,0.0000,0
