window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
5.6047,7.6047,CortarCacau,35,0.3280,3.2050,4.9613,6.3571,1.9935,0.0000,0.0000,1.0000,0
7.6047,9.6047,CortarCacau,38,-0.4133,2.4424,4.9613,9.1974,1.1506,0.0000,0.7771,1.0000,0
9.6047,11.6047,CortarCacau,40,-0.3952,2.4445,4.9613,12.4625,0.3465,0.0000,1.5902,1.0000,0
11.6047,13.6047,CortarCacau,40,-0.1139,2.7430,5.0860,12.3000,1.1947,0.0000,0.7575,1.0000,0
13.6047,15.6047,CortarCacau,43,-0.2438,2.6241,5.1125,12.3721,1.4544,0.0000,0.5150,1.0000,0
15.6047,17.6047,CortarCacau,44,-0.2656,2.5983,5.1125,12.1591,1.3480,0.0000,0.6149,1.0000,0
17.6047,19.6047,CortarCacau,42,0.0411,2.9064,3.6225,11.0357,1.4447,0.0000,0.4784,0.1190,0
19.6047,21.6047,CortarCacau,38,-0.1112,2.7528,3.6225,7.3816,1.3762,0.0000,0.5961,0.2895,0
21.6047,23.6047,CortarCacau,39,-0.3250,2.5529,3.6225,4.8846,1.9252,0.0000,0.0000,0.0256,0
23.6047,25.6047,CortarCacau,40,-0.5579,2.3195,4.4026,4.4625,1.9577,0.0000,0.0000,0.9750,0
25.6047,27.6047,CortarCacau,39,-0.4209,2.4570,4.4226,3.5769,1.9249,0.0000,0.0000,1.0000,0
27.6047,29.6047,CortarCacau,40,-0.5120,2.3560,4.4226,3.0000,1.6028,0.0000,0.3460,1.0000,0
29.6047,31.6047,CortarCacau,39,-0.5819,2.2803,4.1103,3.0000,1.2927,0.0000,0.6473,1.0000,0
31.6047,33.6047,CortarCacau,39,-0.3478,2.5300,4.0934,3.0000,1.9803,0.0000,0.0000,1.0000,0
33.6047,35.6047,CortarCacau,42,-0.4360,2.4414,4.0934,2.9286,1.9156,0.0000,0.0000,0.8571,0
35.6047,37.6047,CortarCacau,46,-0.5526,2.3249,3.6603,2.4348,1.9456,0.0000,0.0000,0.0870,0
37.6047,39.6047,CortarCacau,45,-0.3125,2.5652,3.6406,0.9111,1.9703,0.0000,0.0000,0.0000,0
39.6047,41.6047,CortarCacau,44,-0.4336,2.4366,3.9021,1.5000,1.7063,0.0000,0.2770,0.0000,0
41.6047,43.6047,CortarCacau,40,-0.6746,2.1597,4.5256,1.5000,0.0000,0.0000,1.9456,0.0000,0
43.6047,45.6047,CortarCacau,42,-0.9942,1.8662,4.5256,1.5000,1.2107,0.0000,0.7141,0.0714,0
45.6047,47.6047,CortarCacau,43,-0.4198,2.4583,4.4581,2.1977,1.9500,0.0000,0.0000,0.4419,0
47.6047,49.6047,CortarCacau,43,-0.2860,2.5914,4.3644,4.3721,1.9409,0.0000,0.0000,1.0000,0
49.6047,51.6047,CortarCacau,42,-0.9522,1.9254,4.3644,4.2262,1.9818,0.0000,0.0000,1.0000,0
51.6047,53.6047,CortarCacau,43,-0.8403,2.0192,4.2563,4.0000,1.0939,0.0000,0.8669,1.0000,0
53.6047,55.6047,CortarCacau,43,-0.5652,2.3063,4.1856,4.0000,1.8016,0.0000,0.1341,1.0000,0
55.6047,57.6047,CortarCacau,42,-0.5590,2.3186,4.1856,4.7262,1.9321,0.0000,0.0000,1.0000,0
57.6047,59.6047,CortarCacau,42,-0.5588,2.3186,3.8603,4.5595,1.9818,0.0000,0.0000,0.3333,0
59.6047,61.6047,CortarCacau,33,-1.0080,1.8693,3.7716,2.7576,1.9362,0.0000,0.0000,0.0000,0
61.6047,63.6047,CortarCacau,28,-0.4994,2.3766,3.7716,2.5000,1.8519,0.0000,0.0668,0.0000,0
63.6047,65.6047,CortarCacau,28,-0.6323,2.2411,3.8253,3.3036,1.6903,0.0000,0.2237,0.2143,0
65.6047,67.6047,CortarCacau,31,0.6276,3.5040,4.5227,3.5000,1.9488,0.0000,0.0000,1.0000,0
67.6047,69.6047,CortarCacau,41,0.1737,3.0519,4.5227,4.4878,1.9488,0.0000,0.0000,1.0000,0
69.6047,71.6047,CortarCacau,44,-0.1753,2.6828,4.5227,3.5227,1.1237,0.0000,0.8479,0.9545,0
71.6047,73.6047,CortarCacau,43,0.0132,2.8559,4.3564,2.0000,0.4246,0.0000,1.5035,0.1860,0
73.6047,75.6047,CortarCacau,45,0.3684,3.2455,4.3483,2.0000,1.9595,0.0000,0.0000,0.0000,0
75.6047,77.6047,CortarCacau,44,0.1702,3.0476,4.2809,1.3068,1.9596,0.0000,0.0000,0.0000,0
77.6047,79.6047,CortarCacau,45,-0.1644,2.7130,4.0517,0.5222,1.9354,0.0000,0.0000,0.0000,0
79.6047,81.6047,CortarCacau,45,-0.1986,2.6788,4.0517,0.0000,1.9488,0.0000,0.0000,0.0000,0
81.6047,83.6047,CortarCacau,45,-0.1223,2.7552,3.9886,0.0000,1.9690,0.0000,0.0000,0.0000,0
83.6047,85.6047,CortarCacau,45,-0.0024,2.8751,3.9381,0.0000,1.9625,0.0000,0.0000,0.0000,0
85.6047,87.6047,CortarCacau,45,-0.0444,2.8330,3.9381,0.7444,1.9386,0.0000,0.0000,0.0000,0
87.6047,89.6047,CortarCacau,45,-0.0264,2.8511,4.6329,1.2556,1.9687,0.0000,0.0000,0.0000,0
89.6047,91.6047,CortarCacau,43,0.0302,2.9070,4.7197,1.5000,1.8896,0.0000,0.0447,0.1628,0
91.6047,93.6047,CortarCacau,43,-0.2374,2.6395,4.7881,2.1628,1.9921,0.0000,0.0000,0.4651,0
93.6047,95.6047,CortarCacau,43,0.4812,3.3257,5.2102,3.6512,0.4240,0.0000,1.4933,1.0000,0
95.6047,97.6047,CortarCacau,46,0.0083,2.8419,5.2102,4.4674,0.0000,0.0000,1.9913,1.0000,0
97.6047,99.6047,CortarCacau,44,-0.1138,2.7466,5.0768,6.2841,1.2099,0.0000,0.7072,1.0000,0
99.6047,101.6047,CortarCacau,45,-0.4161,2.4340,4.9012,7.0000,0.6657,0.0000,1.3280,1.0000,0
101.6047,103.6047,CortarCacau,42,-0.4754,2.3696,4.9012,9.8333,0.5886,0.0000,1.3075,1.0000,0
103.6047,105.6047,CortarCacau,44,0.0450,2.8976,5.0137,9.6591,0.8356,0.0000,1.1538,1.0000,0
105.6047,107.6047,CortarCacau,44,0.1305,3.0048,5.0662,10.0682,1.7917,0.0000,0.1468,1.0000,0
107.6047,109.6047,CortarCacau,44,-0.1965,2.6656,5.0662,7.6364,1.2115,0.0000,0.7123,1.0000,0
109.6047,111.6047,CortarCacau,48,0.3753,3.2266,4.9760,7.2500,0.7782,0.0000,1.2032,1.0000,0
111.6047,113.6047,CortarCacau,47,0.1747,3.0077,4.9721,8.1277,0.0000,0.0000,1.9612,1.0000,0
113.6047,115.6047,CortarCacau,47,0.5202,3.3609,4.7672,11.0426,0.5368,0.0000,1.3915,1.0000,0
115.6047,117.6047,CortarCacau,44,0.7996,3.6461,4.4906,11.7159,0.6905,0.0000,1.2782,1.0000,0
117.6047,119.6047,CortarCacau,47,0.4281,3.2813,4.4906,14.7872,0.7349,0.0000,1.2030,1.0000,0
119.6047,121.6047,CortarCacau,49,0.0106,2.8691,3.3090,17.2857,1.3256,0.0000,0.6679,0.2857,0
121.6047,123.6047,CortarCacau,47,-0.0106,2.8504,3.0432,16.9468,1.2005,0.0000,0.7479,0.1702,0
123.6047,125.6047,CortarCacau,48,-0.2425,2.6262,3.2458,14.1146,1.5591,0.0000,0.3775,0.0000,0
125.6047,127.6047,CortarCacau,48,-0.4631,2.3962,3.6914,12.5417,1.2364,0.0000,0.7018,0.0000,0
127.6047,129.6047,CortarCacau,48,-0.9254,1.9302,3.6914,12.4479,1.2141,0.0000,0.7456,0.0833,0
129.6047,131.6047,CortarCacau,49,-0.8988,1.9412,4.5388,12.8980,0.0790,0.0000,1.8801,0.8163,0
131.6047,133.6047,CortarCacau,45,0.0529,2.9182,4.7294,11.7000,1.4524,0.0000,0.4997,1.0000,0
133.6047,135.6047,CortarCacau,46,-0.5533,2.3072,4.6311,9.7500,1.3468,0.0000,0.6018,1.0000,0
135.6047,137.6047,CortarCacau,43,0.6514,3.4851,4.3182,9.5698,0.0345,0.0000,1.9394,1.0000,0
137.6047,139.6047,CortarCacau,40,-0.0052,2.8526,4.3182,8.6250,1.0996,0.0000,0.8462,1.0000,0
