window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
6.5769,8.5769,CortarCacau,36,0.4421,2.9241,4.6478,1.7778,0.0000,0.0000,1.9771,0.3611,0
8.5769,10.5769,CortarCacau,30,-0.0328,2.4500,4.6478,3.8667,0.0680,0.0000,1.8482,1.0000,0
10.5769,12.5769,CortarCacau,35,-0.0263,2.4561,4.6478,4.0000,0.0000,0.0000,1.9603,1.0000,0
12.5769,14.5769,CortarCacau,37,-0.0002,2.4827,4.6671,4.7838,0.0000,0.0000,1.9080,1.0000,0
14.5769,16.5769,CortarCacau,43,0.1839,2.6798,4.6874,5.2093,0.7021,0.0000,1.2710,1.0000,0
16.5769,18.5769,CortarCacau,43,0.1418,2.6294,4.6874,6.0465,0.1210,0.0000,1.8568,1.0000,0
18.5769,20.5769,CortarCacau,47,0.1770,2.6840,5.0886,7.8936,1.1490,0.0000,0.7905,1.0000,0
20.5769,22.5769,CortarCacau,43,-0.1675,2.3275,5.2956,7.2093,0.4899,0.0000,1.4449,1.0000,0
22.5769,24.5769,CortarCacau,39,0.1425,2.6593,5.2956,7.2308,1.7655,0.0000,0.2022,1.0000,0
24.5769,26.5769,CortarCacau,43,-0.0391,2.4639,4.7418,6.3023,0.9470,0.0000,1.0015,1.0000,0
26.5769,28.5769,CortarCacau,43,-0.6453,1.8652,4.6341,6.2791,1.3117,0.0000,0.6360,1.0000,0
28.5769,30.5769,CortarCacau,45,0.0126,2.5394,4.6324,6.4111,1.9625,0.0000,0.0000,1.0000,0
30.5769,32.5769,CortarCacau,51,0.6757,3.1831,4.6150,7.7549,1.1374,0.0000,0.8233,1.0000,0
32.5769,34.5769,CortarCacau,47,0.2561,2.7692,4.6150,8.5532,1.5720,0.0000,0.3871,1.0000,0
34.5769,36.5769,CortarCacau,45,0.6151,3.1376,4.3582,9.4111,1.8033,0.0000,0.1805,1.0000,0
36.5769,38.5769,SecarSemente,44,-0.2135,2.2979,4.1870,9.4886,1.3582,0.0000,0.6042,1.0000,0
38.5769,40.5769,SecarSemente,43,0.3540,2.8658,4.1870,9.7326,1.3487,0.0000,0.5892,1.0000,0
40.5769,42.5769,SecarSemente,44,0.3698,2.8960,4.4542,7.5568,1.9379,0.0000,0.0000,1.0000,0
42.5769,44.5769,SecarSemente,42,0.1381,2.6550,4.4964,7.2738,1.5727,0.0000,0.3874,1.0000,0
44.5769,46.5769,SecarSemente,39,0.0136,2.5372,4.4964,6.3462,1.8424,0.0000,0.0983,1.0000,0
46.5769,48.5769,SecarSemente,45,0.2550,2.7613,4.2567,7.2000,1.0370,0.0000,0.9450,1.0000,0
48.5769,50.5769,SecarSemente,47,0.7482,3.2667,4.2513,5.7872,1.7368,0.0000,0.2076,1.0000,0
50.5769,52.5769,SecarSemente,43,0.3798,2.8951,3.9994,4.8372,1.4749,0.0000,0.4659,0.7907,0
52.5769,54.5769,SecarSemente,46,0.0450,2.5707,3.4775,3.5761,1.9732,0.0000,0.0000,0.2391,0
54.5769,56.5769,SecarSemente,49,0.4298,2.9516,3.4775,3.1735,1.8962,0.0000,0.0778,0.0000,0
56.5769,58.5769,SecarSemente,46,0.1007,2.6188,4.3266,2.2283,1.5600,0.0000,0.3888,0.2174,0
58.5769,60.5769,SecarSemente,48,-0.0605,2.4660,4.5935,2.0104,1.9598,0.0000,0.0000,0.0208,0
60.5769,62.5769,SecarSemente,45,0.1613,2.6586,4.5715,2.8111,0.6243,0.0000,1.3253,1.0000,0
62.5769,64.5769,SecarSemente,45,0.3299,2.8107,4.4696,4.3000,0.0000,0.0000,1.9603,1.0000,0
64.5769,66.5769,SecarSemente,44,0.2875,2.7854,4.4696,5.1364,0.6985,0.0000,1.2484,1.0000,0
66.5769,68.5769,SecarSemente,43,0.4216,2.9317,4.3344,5.0581,1.2691,0.0000,0.6605,1.0000,0
68.5769,70.5769,DescascarSemente,48,-0.1386,2.3826,4.1789,5.0104,1.7364,0.0000,0.2320,1.0000,0
70.5769,72.5769,DescascarSemente,47,-0.2094,2.3145,4.1789,5.7553,1.8845,0.0000,0.0886,1.0000,0
72.5769,74.5769,DescascarSemente,46,0.5599,3.0858,4.0705,5.4022,1.9465,0.0000,0.0000,1.0000,0
74.5769,76.5769,DescascarSemente,45,0.5552,3.0750,4.0572,4.0000,1.8504,0.0000,0.0874,1.0000,0
76.5769,78.5769,DescascarSemente,47,0.0294,2.5435,4.0117,3.1064,1.4544,0.0000,0.5370,0.8298,0
78.5769,80.5769,DescascarSemente,48,-0.2398,2.2862,3.8925,4.1250,1.9492,0.0000,0.0000,0.1042,0
80.5769,82.5769,DescascarSemente,48,0.0823,2.6080,3.8925,3.4375,1.9485,0.0000,0.0000,0.2083,0
