window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
25.7852,27.7852,CortarCacau,34,0.1393,2.5688,4.8340,2.3676,0.0000,0.0000,1.9849,1.0000,0
27.7852,29.7852,CortarCacau,28,-0.2196,2.2150,4.8340,2.5000,0.0000,0.5692,1.3146,1.0000,0
29.7852,31.7852,CortarCacau,33,0.2167,2.6483,4.8340,2.5000,0.0000,0.0000,1.9933,1.0000,0
31.7852,33.7852,CortarCacau,32,0.1078,2.5410,4.6463,2.4062,0.3205,0.0000,1.6056,0.7812,0
33.7852,35.7852,CortarCacau,34,0.1572,2.5890,3.9759,2.0000,0.0000,0.0000,1.9380,0.0000,0
35.7852,37.7852,CortarCacau,35,-0.0631,2.3663,3.9759,1.4857,0.0000,0.0000,1.9589,0.0000,0
37.7852,39.7852,CortarCacau,37,-0.5726,1.8570,3.9759,1.0000,0.0000,0.0000,1.8947,0.0000,0
39.7852,41.7852,CortarCacau,41,-0.0535,2.3760,4.3844,0.5366,0.0000,0.0000,1.9937,0.2195,0
41.7852,43.7852,CortarCacau,45,-0.1522,2.2773,4.4685,1.0000,0.0000,0.0000,1.9607,1.0000,0
43.7852,45.7852,CortarCacau,46,-0.3121,2.1177,4.3735,1.0000,0.0000,0.0000,1.9494,0.8913,0
45.7852,47.7852,CortarCacau,48,-0.2730,2.1619,3.5944,1.0000,0.2993,0.0000,1.6709,0.0000,0
47.7852,49.7852,CortarCacau,48,-0.2913,2.1380,3.5944,1.2812,0.0000,0.0000,1.9496,0.0000,0
49.7852,51.7852,CortarCacau,48,-0.4398,1.9898,4.0311,2.8438,0.0000,0.0000,1.9593,0.6042,0
51.7852,53.7852,CortarCacau,48,-0.2453,2.1852,4.3172,3.2188,0.0000,0.0000,1.9497,1.0000,0
53.7852,55.7852,CortarCacau,45,0.1405,2.5848,4.3250,3.5000,0.7031,0.0000,1.2683,1.0000,0
55.7852,57.7852,CortarCacau,40,0.6085,3.0544,4.4925,3.6750,0.0000,1.3367,0.5869,1.0000,0
57.7852,59.7852,CortarCacau,39,0.5770,3.0157,4.4925,5.7179,0.0000,0.5993,1.3336,1.0000,0
59.7852,61.7852,CortarCacau,38,0.3669,2.7957,4.4925,6.3553,0.0000,0.0000,1.9825,1.0000,0
61.7852,63.7852,CortarCacau,38,0.1457,2.5807,4.6124,5.5921,0.1878,0.0000,1.7395,1.0000,0
63.7852,65.7852,CortarCacau,41,0.1273,2.5769,4.6156,5.5244,1.1032,0.0000,0.8575,1.0000,0
65.7852,67.7852,CortarCacau,43,-0.1022,2.3521,4.6139,6.5349,0.9774,0.0000,0.9710,1.0000,0
67.7852,69.7852,CortarCacau,43,-0.1914,2.2820,4.5426,6.7907,1.9593,0.0000,0.0000,1.0000,0
