window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
11.6802,13.6802,CortarCacau,32,0.0672,2.7430,4.1363,6.0625,0.0000,0.1442,1.8025,1.0000,0
13.6802,15.6802,CortarCacau,28,0.0358,2.7182,4.1363,7.3750,0.0776,0.1553,1.6932,1.0000,0
15.6802,17.6802,CortarCacau,32,0.7360,3.4294,4.1363,8.0000,0.9124,0.0000,1.0360,1.0000,0
17.6802,19.6802,CortarCacau,37,0.8266,3.5278,4.2418,7.8919,1.3019,0.0000,0.6579,1.0000,0
19.6802,21.6802,CortarCacau,42,0.6284,3.3354,4.5699,6.7619,1.7145,0.0000,0.2114,1.0000,0
21.6802,23.6802,CortarCacau,31,0.0723,2.7560,4.5699,4.7419,0.1798,0.0000,1.7699,1.0000,0
23.6802,25.6802,CortarCacau,25,0.1637,2.8377,4.5699,3.2400,0.0000,0.0000,1.8855,1.0000,0
25.6802,27.6802,CortarCacau,33,0.1005,2.7753,5.1391,2.1667,0.0000,0.0000,1.9376,0.9394,0
27.6802,29.6802,CortarCacau,39,0.2546,2.9295,5.5091,1.0128,0.0000,0.0000,1.9827,0.5128,0
29.6802,31.6802,CortarCacau,41,0.2352,2.9101,5.5091,0.0000,0.0000,0.0000,1.9481,0.3171,0
31.6802,33.6802,CortarCacau,42,0.1005,2.7754,4.3017,0.0000,0.0000,0.0000,1.9299,0.0000,0
33.6802,35.6802,CortarCacau,40,-0.2321,2.4428,3.2040,0.5250,0.0000,0.0000,1.9709,0.0000,0
35.6802,37.6802,CortarCacau,39,-0.2045,2.4704,3.2040,1.5000,0.0000,0.0000,1.9279,0.0000,0
37.6802,39.6802,CortarCacau,38,-0.3495,2.3252,2.3690,1.5000,0.0000,0.0000,1.9520,0.0000,0
39.6802,41.6802,CortarCacau,40,-0.1581,2.5216,1.5339,1.5000,0.2452,0.0000,1.7061,0.0000,0
41.6802,43.6802,CortarCacau,38,0.0693,2.7449,1.5339,1.5000,0.0000,0.0000,1.9266,0.0000,0
43.6802,45.6802,CortarCacau,40,0.3580,3.0328,2.7382,1.5000,0.0000,0.0000,1.9493,0.0000,0
45.6802,47.6802,CortarCacau,40,0.3570,3.0318,4.3675,1.1625,0.0000,0.0000,1.9684,0.0000,0
47.6802,49.6802,CortarCacau,40,0.2364,2.9113,4.3675,0.0000,0.0000,0.0000,1.9290,0.0000,0
49.6802,51.6802,CortarCacau,41,0.5430,3.2179,4.5876,0.0000,0.0000,0.0000,1.9388,0.0000,0
51.6802,53.6802,CortarCacau,42,0.5119,3.1868,4.8689,0.0000,0.0000,0.0000,1.9476,0.0000,0
53.6802,55.6802,CortarCacau,42,0.6001,3.2750,4.8689,0.0000,0.0000,0.0000,1.9728,0.0000,0
55.6802,57.6802,CortarCacau,40,0.6976,3.3725,5.1494,0.0000,0.0000,0.0000,1.9395,0.0000,0
57.6802,59.6802,CortarCacau,42,0.6119,3.2867,5.3788,0.0000,0.0000,0.0000,1.9497,0.0000,0
59.6802,61.6802,CortarCacau,40,0.1960,2.8709,5.3788,0.0000,0.0000,0.0000,1.9389,0.0000,0
61.6802,63.6802,CortarCacau,40,-0.0094,2.6655,5.3800,0.0000,0.0000,0.0000,1.9597,0.0000,0
63.6802,65.6802,CortarCacau,40,0.1005,2.7754,5.3807,0.0000,0.0000,0.0000,1.9705,0.0000,0
65.6802,67.6802,CortarCacau,41,0.1587,2.8335,5.3807,0.0000,0.0000,0.0000,1.9417,0.0000,0
67.6802,69.6802,CortarCacau,42,0.1898,2.8647,4.4738,0.0000,0.0000,0.0000,1.9500,0.0476,0
69.6802,71.6802,CortarCacau,41,0.6445,3.3193,3.9699,0.0732,0.0000,0.0000,1.9701,0.0000,0
71.6802,73.6802,CortarCacau,40,0.3204,2.9953,3.9699,0.9750,0.0000,0.0000,1.9386,0.0000,0
73.6802,75.6802,CortarCacau,39,0.0929,2.7675,3.9434,1.0000,0.0000,0.0000,1.9371,0.0000,0
75.6802,77.6802,CortarCacau,37,0.1219,2.8014,3.9316,1.0000,0.2031,0.0000,1.7611,0.0000,0
77.6802,79.6802,CortarCacau,37,0.6953,3.3756,3.9316,1.0000,0.2584,0.0000,1.6676,0.0000,0
79.6802,81.6802,CortarCacau,41,0.6267,3.3013,4.6185,1.0000,0.0000,0.0000,1.9455,0.0000,0
81.6802,83.6802,CortarCacau,43,0.4545,3.1293,5.2117,0.9651,0.0000,0.0000,1.9836,0.0000,0
83.6802,85.6802,CortarCacau,41,0.8475,3.5224,5.2117,0.0610,0.0000,0.0000,1.9291,0.0488,0
85.6802,87.6802,CortarCacau,39,0.6874,3.3623,3.5863,0.0000,0.0000,0.0000,1.9259,0.0513,0
87.6802,89.6802,SecarSemente,41,0.7548,3.4297,2.6761,0.0000,0.0000,0.0000,1.9826,0.0000,0
89.6802,91.6802,SecarSemente,40,0.5318,3.2067,2.6761,0.2500,0.0000,0.0000,1.9136,0.0000,0
91.6802,93.6802,SecarSemente,45,0.5879,3.2628,3.9855,1.0000,0.0000,0.0000,1.9925,0.0000,0
93.6802,95.6802,SecarSemente,41,0.4522,3.1270,4.5768,1.0000,0.0000,0.0000,1.9137,0.0000,0
95.6802,97.6802,SecarSemente,38,0.5550,3.2318,4.5768,2.8158,0.0974,0.0000,1.8734,0.7895,0
97.6802,99.6802,SecarSemente,37,0.5116,3.1867,4.3156,3.5000,0.0000,0.0000,1.9108,1.0000,0
99.6802,101.6802,SecarSemente,39,0.4948,3.1694,4.2189,3.5000,0.0000,0.0000,1.9601,1.0000,0
101.6802,103.6802,SecarSemente,41,0.5453,3.2468,4.2189,3.2317,1.2591,0.0000,0.7339,0.9512,0
103.6802,105.6802,SecarSemente,45,0.7704,3.4895,3.6868,3.1444,1.9339,0.0000,0.0000,0.0000,0
