window_start_s,window_end_s,dominant_activity,n_samples,mean_residual_pupil_mm,mean_raw_pupil_mm,mean_gaze_entropy_bits,mean_target_switch_rate_hz,task_dwell_s,tutorial_dwell_s,support_dwell_s,confusion_frac,n_rescue_saccades
6.4647,8.4647,CortarCacau,33,0.1966,2.8354,4.6280,8.7424,0.5794,0.0000,1.3834,1.0000,0
8.4647,10.4647,CortarCacau,31,-0.0493,2.5932,4.6280,10.6935,1.3688,0.0000,0.5874,1.0000,0
10.4647,12.4647,CortarCacau,37,-0.0587,2.5926,4.6280,14.3108,1.5219,0.0000,0.4089,1.0000,0
12.4647,14.4647,CortarCacau,42,-0.0814,2.5523,4.4714,14.3333,0.8151,0.0000,1.1592,1.0000,0
14.4647,16.4647,CortarCacau,41,-0.0831,2.5454,4.3420,13.0854,0.6813,0.0000,1.2677,1.0000,0
16.4647,18.4647,CortarCacau,42,0.2016,2.8493,4.3420,12.2857,1.3708,0.0000,0.5592,1.0000,0
18.4647,20.4647,CortarCacau,45,-0.0183,2.6397,4.7764,10.7778,1.8966,0.0000,0.0871,1.0000,0
20.4647,22.4647,CortarCacau,44,-0.0730,2.5804,4.9726,7.9318,1.8149,0.0000,0.1328,1.0000,0
22.4647,24.4647,CortarCacau,46,0.1476,2.7685,4.9713,5.9783,0.1657,0.0000,1.7668,1.0000,0
24.4647,26.4647,CortarCacau,48,-0.3632,2.2519,4.9130,8.2604,0.0000,0.0000,1.9463,1.0000,0
26.4647,28.4647,CortarCacau,44,-0.3597,2.2776,4.9130,9.2273,1.1507,0.0000,0.8200,1.0000,0
28.4647,30.4647,CortarCacau,40,0.1071,2.7414,4.6131,9.0000,0.6694,0.0000,1.2812,0.8250,0
30.4647,32.4647,CortarCacau,38,0.2529,2.8983,3.9902,9.0000,1.5896,0.0000,0.3610,0.3684,0
32.4647,34.4647,CortarCacau,40,-0.4017,2.2443,3.9902,8.4375,1.4175,0.0000,0.5548,0.1000,0
34.4647,36.4647,CortarCacau,39,-0.0067,2.6532,3.9846,7.2564,1.9411,0.0000,0.0000,0.1795,0
36.4647,38.4647,CortarCacau,39,-0.5137,2.1457,3.9684,7.5513,1.9240,0.0000,0.0000,0.1538,0
38.4647,40.4647,SecarSemente,40,0.0834,2.7432,3.9684,7.4000,1.9570,0.0000,0.0000,0.1500,0
