SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
10.4957,Default,CortarCacau,Wall,17662,Barrier,0.554019,0.5501661,4.357419,4.20458E-07,0,-1,4.425214,0.3093238,0.7816385,-0.05495742,0.05529568,-0.05230761,0.9970989,0.9999999,0.7999999,0,7.063221,2.377104,4.720163,1,1,1,1,1,1,0
10.4957,Default,CortarCacau,Checker,17746,Floor,0.4167602,0.4,1.037035,0,1,0,1.156355,0.3068509,0.7801763,-0.04949249,0.09504807,-0.3287714,0.9396144,0.9999999,0.9691977,0,3.903024,2.510852,3.206938,1,1,1,1,1,1,0
10.5157,Default,CortarCacau,Checker,17746,Floor,0.4181675,0.4,0.979718,0,1,0,1.102401,0.3064885,0.7800548,-0.04905547,0.1013052,-0.3447517,0.9332114,0.9999999,0.9802865,0,3.876466,2.520446,3.198456,1,1,1,1,1,0,0.02000046
10.58406,Default,CortarCacau,Checker,17746,Floor,0.4294904,0.4,0.9120615,0,1,0,1.03927,0.3052996,0.7795013,-0.04743709,0.1194982,-0.3651614,0.9232429,0.9999999,0.9973541,0,3.874293,2.519379,3.196836,1,1,1,1,1,0,0.08835602
10.6338,Default,CortarCacau,Checker,17746,Floor,0.438434,0.4,1.041693,0,1,0,1.160152,0.304597,0.7791091,-0.0465702,0.1153617,-0.3267753,0.938035,0.9999999,0.9986453,0,5.040101,2.377104,3.708602,1,1,1,1,1,0,0.1380968
10.69423,Default,CortarCacau,Checker,17746,Floor,0.4068354,0.4,1.944486,0,1,0,2.028419,0.3035036,0.7786018,-0.0456058,0.05094212,-0.1866487,0.981105,0.4096,0.3272362,0,3.520454,2.377104,2.948779,1,1,1,1,1,0,0.198535
10.75605,Default,CortarCacau,Checker,17746,Floor,0.3959061,0.4,1.956763,0,1,0,2.039038,0.3020863,0.7786413,-0.044613,0.04601179,-0.1856961,0.9815294,0.5433412,0.1340359,1,3.520454,2.377104,2.948779,1,1,1,1,1,0,0.2603474
10.82345,Default,CortarCacau,Checker,17746,Floor,0.5369532,0.4,1.9864,0,1,0,2.078742,0.3007131,0.7788955,-0.04382086,0.1136457,-0.1822715,0.9766585,0.9387082,0.8547153,0,3.520454,2.377104,2.948779,1,1,1,1,1,0,0.3277512
10.87861,Default,CortarCacau,Checker,17746,Floor,0.5441171,0.4,1.975272,0,1,0,2.068359,0.299762,0.7790238,-0.04332689,0.1181396,-0.1832485,0.9759421,0.9839327,0.9619145,0,3.520454,2.377104,2.948779,1,1,1,1,1,0,0.3829079
10.94733,Default,CortarCacau,Checker,17746,Floor,0.5317386,0.4,1.884845,0,1,0,1.978531,0.2991343,0.77886,-0.04309318,0.1175642,-0.1914855,0.9744291,0.9966304,0.9920129,0,3.520454,2.377104,2.948779,1,1,1,1,1,0,0.4516287
11.0033,Default,CortarCacau,Checker,17746,Floor,0.523222,0.4,1.804455,0,1,0,1.899243,0.2989352,0.7786158,-0.0431024,0.1180928,-0.1993509,0.9727864,0.9992933,0.998325,0,3.520454,2.377104,2.948779,1,1,1,1,1,0,0.5076046
