SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
5.604651,Default,CortarCacau,Checker,17736,Floor,0.4432472,0.4,1.761462,0,1,0,1.613501,0.04673946,0.7627526,0.2400886,0.2457437,-0.2248232,0.9429022,0.9999999,0.9999999,0,3.727241,3.550029,3.638635,1,1,1,1,1,1,0
5.604651,Default,CortarCacau,Checker,17736,Floor,0.5052662,0.4,1.494791,0,1,0,1.382007,0.04731034,0.7612686,0.241913,0.3313701,-0.2614087,0.9065645,0.9999999,0.9999999,0,3.781218,3.595686,3.688452,1,1,1,1,1,0,0
5.624651,Default,CortarCacau,Checker,17736,Floor,0.5148201,0.4,1.506675,0,1,0,1.395841,0.04736901,0.7611874,0.2419992,0.3348885,-0.2587597,0.9060315,0.9999999,0.9999999,0,3.793586,3.582207,3.687896,1,1,1,1,1,0,0.01999998
5.685737,Default,CortarCacau,Checker,17736,Floor,0.534855,0.4,1.523202,0,1,0,1.417167,0.04754052,0.7608521,0.2423145,0.3438652,-0.2546292,0.9038366,0.9999999,0.9999999,0,3.803502,3.649363,3.726432,1,1,1,1,1,0,0.08108568
5.751522,Default,CortarCacau,Checker,17736,Floor,0.5690105,0.4,1.561042,0,1,0,1.462894,0.0479121,0.7605983,0.2425263,0.3562106,-0.2464966,0.9013065,0.9999999,0.9999999,0,3.852135,3.696081,3.774108,1,1,1,1,1,0,0.1468711
5.803718,Default,CortarCacau,Checker,17736,Floor,0.6092159,0.4,1.677217,0,1,0,1.581931,0.048254,0.7603237,0.242646,0.3546057,-0.2277746,0.9068481,0.9999999,0.9999999,0,6.493396,3.674483,5.08394,1,1,1,1,1,0,0.1990666
5.870825,Default,CortarCacau,Wood,17658,Barrier,0.7861907,0.4311073,4.26438,0,-1.892749E-07,-0.9999999,4.101994,0.04864631,0.7599156,0.2426549,0.1798014,-0.08015814,0.9804316,0.9999999,0.9999999,0,5.21079,3.541567,4.376178,1,1,1,1,1,1,0
5.928957,Default,CortarCacau,Checker,17736,Floor,0.5728874,0.4,2.124281,0,1,0,1.986049,0.04871469,0.7596233,0.2427115,0.2639274,-0.1810747,0.9473934,0.9999999,0.9999999,0,3.832061,3.579186,3.705624,1,1,1,1,1,1,0
5.996495,Default,CortarCacau,Checker,17736,Floor,0.5148017,0.4,1.809276,0,1,0,1.673573,0.04863328,0.7592558,0.2426009,0.2785468,-0.2146639,0.9361256,0.9999999,0.9999999,0,3.692318,3.403029,3.547674,1,1,1,1,1,0,0.06753778
6.05919,Default,CortarCacau,Checker,17736,Floor,0.4614325,0.4,1.651037,0,1,0,1.511254,0.04841647,0.7590846,0.242362,0.2732936,-0.2376071,0.9321231,0.9999999,0.9999999,0,3.428072,3.210951,3.319511,1,1,1,1,1,0,0.1302323
6.115928,Default,CortarCacau,Checker,17736,Floor,0.4433875,0.4,1.607947,0,1,0,1.466534,0.0480409,0.7593219,0.2421835,0.269579,-0.2450144,0.9312868,0.9999999,0.9999999,0,3.356102,3.086171,3.221137,1,1,1,1,1,0,0.1869702
6.181711,Default,CortarCacau,Checker,17736,Floor,0.4224958,0.4,1.534133,0,1,0,1.392784,0.0476943,0.7594059,0.241772,0.2691025,-0.2580486,0.927898,0.9999999,0.9999999,0,3.189466,3.013792,3.101629,1,1,1,1,1,0,0.2527533
6.240922,Default,CortarCacau,Checker,17736,Floor,0.4153377,0.4,1.514639,0,1,0,1.373372,0.04766951,0.7594015,0.2411393,0.267712,-0.2616928,0.9272795,0.9999999,0.9999999,0,3.119265,2.925637,3.022451,1,1,1,1,1,0,0.311965
