SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
6.5769,Default,CortarCacau,Wall,17660,Barrier,0.8431979,1.316712,0.9627609,-0.9999999,0,0,1.308233,0.04227055,1.574014,-0.03912883,0.612221,-0.1966792,0.7658347,0.9999999,0.9999999,0,3.219921,3.129387,3.174654,1,1,1,1,1,1,0
6.5769,Default,CortarCacau,Wall,17660,Barrier,0.8431978,1.361836,1.212756,-0.9999999,0,0,1.498522,0.04157145,1.575763,-0.0351214,0.5349448,-0.1427589,0.8327388,0.9999999,0.9999999,0,3.178478,3.171007,3.174742,1,1,1,1,1,0,0
6.5969,Default,CortarCacau,Wall,17660,Barrier,0.8431978,1.365511,1.215556,-0.9999999,0,0,1.499912,0.04220491,1.576262,-0.0349358,0.5340268,-0.1405088,0.8337101,0.9999999,0.9999999,0,3.173344,3.143912,3.158628,1,1,1,1,1,0,0.01999998
6.651475,Default,CortarCacau,Wall,17660,Barrier,0.8431978,1.38324,1.160614,-0.9999999,0,0,1.450294,0.04633377,1.577118,-0.03553409,0.5494501,-0.1336818,0.8247629,0.9999999,0.9999999,0,3.372033,3.309232,3.340632,1,1,1,1,1,0,0.07457495
6.717439,Default,CortarCacau,Wall,17660,Barrier,0.8431978,1.37274,1.141269,-0.9999999,0,0,1.434676,0.05032112,1.576117,-0.03698245,0.5526524,-0.1417582,0.8212673,0.9999999,0.9999999,0,3.341773,3.319829,3.330801,1,1,1,1,1,0,0.1405387
6.778165,Default,CortarCacau,Wall,17660,Barrier,0.8431981,1.364851,1.205099,-0.9999999,0,0,1.487602,0.05227242,1.57635,-0.03694096,0.5316783,-0.1421749,0.8349278,0.9999999,0.9999999,0,3.308154,3.319155,3.313654,1,1,1,1,1,0,0.2012644
6.830035,Default,CortarCacau,Wall,17660,Barrier,0.8431979,1.352329,1.293934,-0.9999999,0,0,1.56353,0.05206108,1.577595,-0.0357217,0.505994,-0.1440753,0.8504189,0.9999999,0.9999999,0,3.262898,3.355792,3.309345,1,1,1,1,1,0,0.2531343
6.892764,Default,CortarCacau,Wall,17660,Barrier,0.8431981,1.342816,1.395546,-0.9999999,0,0,1.651012,0.05082432,1.579482,-0.03342983,0.4799322,-0.1433459,0.8655155,0.9999999,0.9999999,0,3.273176,3.434932,3.354054,1,1,1,1,1,0,0.3158636
6.950667,Default,CortarCacau,Wall,17660,Barrier,0.8431979,1.334711,1.457356,-0.9999999,0,0,1.705131,0.04884308,1.580354,-0.03131215,0.4658615,-0.1440607,0.8730519,0.9999999,0.9999999,0,3.100261,3.418194,3.259228,1,1,1,1,1,0,0.3737664
7.018197,Default,CortarCacau,Wall,17660,Barrier,0.8431978,1.052219,1.925232,-1,0,0,2.176255,0.04529567,1.580087,-0.02945223,0.3666401,-0.2425583,0.8981873,0.9999999,0.9999999,0,3.082753,3.154054,3.118403,1,1,1,1,1,0,0.4412966
7.082339,Default,CortarCacau,Wall,17660,Barrier,0.8431979,1.049103,1.905695,-1,0,0,2.159721,0.04155908,1.579026,-0.02845921,0.3711771,-0.2453665,0.8955573,0.9999999,0.9999999,0,2.797448,2.965308,2.881378,1,1,1,1,1,0,0.5054383
7.138245,Default,CortarCacau,Wall,17660,Barrier,0.8431979,1.053749,1.867684,-0.9999999,0,0,2.125077,0.03887615,1.577904,-0.02817415,0.3784907,-0.2466524,0.8921364,0.9999999,0.9999999,0,2.7445,2.902713,2.823606,1,1,1,1,1,0,0.5613446
7.208059,Default,CortarCacau,Wall,17660,Barrier,0.8431979,1.050787,1.777725,-0.9999999,0,0,2.04652,0.03623331,1.575305,-0.02835656,0.3943107,-0.2562971,0.8825139,0.9999999,0.9999999,0,2.700845,2.81785,2.759348,1,1,1,1,1,0,0.6311584
7.260668,Default,CortarCacau,Wall,17660,Barrier,0.8431979,1.022067,1.39194,-0.9999999,0,0,1.724432,0.03549564,1.572096,-0.02888703,0.4683875,-0.3189621,0.8239395,0.9999999,0.9999999,0,2.704957,2.819042,2.761999,1,1,1,1,1,0,0.6837678
