SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
11.73757,Default,CortarCacau,Wall,17664,Barrier,0.8431978,1.197638,1.502434,-0.9999999,0,0,1.998686,-0.1591566,1.265289,-0.2254125,0.5015067,-0.03384765,0.8644913,0.9989661,0.9988167,0,4.549623,2.583975,3.566799,1,1,1,1,1,1,0
11.73757,Default,CortarCacau,Wall,17664,Barrier,0.8431978,1.277673,1.471899,-0.9999999,0,0,1.969355,-0.1598375,1.26637,-0.2228436,0.5093217,0.005739893,0.8605571,0.9564928,0.9460282,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0
11.75756,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.279305,1.446896,-0.9999999,0,0,1.94771,-0.1598555,1.266488,-0.2226227,0.5149912,0.006580253,0.8571702,0.9721554,0.965458,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.0199995
11.81439,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.283607,1.41044,-0.9999999,0,0,1.915998,-0.1600149,1.266827,-0.2218377,0.523598,0.008758034,0.8519204,0.9941605,0.992756,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.07682514
11.88033,Default,CortarCacau,Wall,17664,Barrier,0.8431978,1.288153,1.367712,-0.9999999,0,0,1.879029,-0.1598655,1.267153,-0.2210527,0.53382,0.01117546,0.8455243,0.9990203,0.9987847,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.1427622
11.93614,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.287494,1.536479,-0.9999999,0,0,2.023104,-0.1596698,1.267169,-0.2204488,0.4957073,0.01004654,0.8684315,0.9994984,0.7993777,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.198576
12.00162,Default,CortarCacau,Wall,17664,Barrier,0.8431978,1.335887,1.546013,-0.9999999,0,0,2.031659,-0.1592098,1.267079,-0.2197966,0.4933937,0.03386769,0.8691465,0.8272039,0.7133285,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.2640533
12.05687,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.335883,1.574482,-0.9999999,0,0,2.05594,-0.1587602,1.267019,-0.2194603,0.4873478,0.03349537,0.8725653,0.8894105,0.8165302,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.3193045
12.11209,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.336768,1.55082,-0.9999999,0,0,2.035014,-0.1583622,1.267122,-0.2192956,0.4921638,0.03422391,0.8698296,0.9710096,0.9519045,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.3745232
12.17979,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.338914,1.522833,-0.9999999,0,0,2.010484,-0.1577929,1.267388,-0.219277,0.4978854,0.03557631,0.8665128,0.9939202,0.9899136,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.4422235
12.23385,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.340894,1.50193,-0.9999999,0,0,1.99236,-0.1570694,1.267668,-0.2195823,0.5020514,0.03675329,0.8640565,0.9984062,0.9973559,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.4962893
12.30122,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.340668,1.476451,-0.9999999,0,0,1.970314,-0.1552296,1.267922,-0.2206018,0.5067351,0.03692111,0.8613108,0.9997861,0.9996451,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.563652
12.3563,Default,CortarCacau,Wall,17664,Barrier,0.8431978,1.337981,1.436938,-0.9999999,0,0,1.936194,-0.1533195,1.267974,-0.2216457,0.5146785,0.03615718,0.8566205,0.9999124,0.9998547,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.6187391
12.4243,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.264705,1.09322,-0.9999999,0,0,1.649057,-0.1494759,1.267941,-0.2235856,0.6019647,-0.001962369,0.7985203,0.9999882,0.9999806,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.686739
12.47981,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.174193,0.6823189,-1,0,0,1.345536,-0.1451371,1.267495,-0.2259521,0.7345288,-0.06934151,0.6750254,0.9999969,0.9999949,0,3.0384,2.527485,2.782942,1,1,1,1,1,0,0.7422447
12.54595,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.068072,0.5864363,-1,0,0,1.292317,-0.1393435,1.266923,-0.2291329,0.7602945,-0.1538721,0.6310908,0.9999992,0.9999987,0,4.327972,2.527149,3.427561,1,1,1,1,1,0,0.808382
12.61375,Default,CortarCacau,Wall,17664,Barrier,0.8431978,1.073909,0.5465879,-1,0,0,1.264466,-0.134367,1.266209,-0.2320401,0.773105,-0.15208,0.6157762,0.9999999,0.9999998,0,2.986917,2.500801,2.743859,1,1,1,1,1,0,0.8761864
12.67934,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.094596,0.5141609,-1,0,0,1.240181,-0.1309978,1.265461,-0.2340349,0.7855271,-0.137774,0.6032956,0.9999999,0.9999999,0,2.98439,2.460025,2.722208,1,1,1,1,1,0,0.9417763
12.73679,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.098682,0.5034785,-1,0,0,1.23207,-0.1286062,1.264704,-0.2354593,0.7887574,-0.1347511,0.5997531,0.9999999,0.9999999,0,3.027553,2.469744,2.748649,1,1,1,1,1,0,0.9992275
12.80303,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.114609,0.4896576,-1,0,0,1.220913,-0.1263763,1.264281,-0.2370823,0.7941391,-0.1225906,0.5952433,0.9999999,0.9999999,0,3.097078,2.52089,2.808984,1,1,1,1,1,0,1.065464
12.87255,Default,CortarCacau,Wall,17664,Barrier,0.8431978,1.125934,0.4763916,-1,0,0,1.21112,-0.1245695,1.264301,-0.2385146,0.7990685,-0.1142471,0.5902857,0.9999999,0.9999999,0,3.149829,2.559938,2.854884,1,1,1,1,1,0,1.134989
12.92588,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.135429,0.4648268,-1,0,0,1.202644,-0.1230077,1.264286,-0.2395852,0.8034008,-0.1071452,0.5857193,0.9999999,0.9999999,0,3.129786,2.573525,2.851655,1,1,1,1,1,0,1.188314
12.98174,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.142414,0.4461007,-1,0,0,1.190256,-0.1213534,1.264,-0.2406068,0.810373,-0.102151,0.5769408,0.9999999,0.9999999,0,3.179747,2.559254,2.869501,1,1,1,1,1,0,1.244171
13.04788,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.145051,0.4332073,-1,0,0,1.181607,-0.1195436,1.26351,-0.241545,0.8147733,-0.1002524,0.5710464,0.9999999,0.9999999,0,3.187327,2.585412,2.886369,1,1,1,1,1,0,1.310311
13.10338,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.204705,0.5253181,-1,0,0,1.231561,-0.1183092,1.263025,-0.2420449,0.780722,-0.04735452,0.6230816,0.9999999,0.9999999,0,3.123143,2.226373,2.674758,1,1,1,1,1,0,1.365815
13.17118,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.20229,0.5107241,-1,0,0,1.221917,-0.1170391,1.262437,-0.2425421,0.7858444,-0.04922375,0.6164621,0.7282313,0.7884656,0,3.123143,2.226373,2.674758,1,1,1,1,1,0,1.433619
13.22715,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.202931,0.4790645,-1,0,0,1.201689,-0.115843,1.262009,-0.2426041,0.7980777,-0.04916254,0.6005456,0.8886836,0.864618,0,3.812835,2.584962,3.198898,1,1,1,1,1,0,1.489582
13.28303,Default,CortarCacau,Wall,17664,Barrier,0.8431981,1.179199,0.4326701,-1,0,0,1.174687,-0.1144993,1.261049,-0.2426116,0.8152789,-0.06967847,0.5748611,0.9708191,0.9645104,0,3.118114,2.518346,2.81823,1,1,1,1,1,0,1.545462
13.34793,Default,CortarCacau,Wall,17664,Barrier,0.8431979,1.16778,0.4109049,-1,0,0,1.161499,-0.1126762,1.259532,-0.2425216,0.8229659,-0.07899397,0.5625717,0.9951043,0.9940459,0,3.037417,2.508152,2.772784,1,1,1,1,1,0,1.610362
