SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
11.6802,Default,CortarCacau,Wall,17660,Barrier,0.8431981,1.517374,1.089454,-0.9999999,0,0,1.423464,0.05141297,1.606253,-0.09013334,0.5562382,-0.06243867,0.828674,0.9999999,0.9999999,0,3.784777,2.52921,3.156993,1,1,1,1,1,1,0
11.6802,Default,CortarCacau,Wall,17660,Barrier,0.8431981,1.206522,1.129825,-0.9999999,0,0,1.505042,0.052656,1.602542,-0.088109,0.5252624,-0.2631289,0.8092358,0.9999999,0.9999999,0,3.875079,2.630677,3.252878,1,1,1,1,1,0,0
11.7002,Default,CortarCacau,Wall,17660,Barrier,0.8431978,1.209996,1.115038,-0.9999999,0,0,1.491929,0.0527264,1.602294,-0.08792049,0.5298319,-0.2629471,0.8063107,0.9999999,0.9999999,0,3.885167,2.637443,3.261305,1,1,1,1,1,0,0.02000046
11.75601,Default,CortarCacau,Wall,17660,Barrier,0.8431981,1.21805,1.074709,-0.9999999,0,0,1.456683,0.05297712,1.601366,-0.08742098,0.5424796,-0.2631427,0.7977918,0.9999999,0.9999999,0,3.922516,2.662146,3.292331,1,1,1,1,1,0,0.07580471
11.82552,Default,CortarCacau,Wall,17660,Barrier,0.8431979,1.230419,1.033816,-0.9999999,0,0,1.419967,0.05341007,1.599975,-0.0868853,0.5562015,-0.2602561,0.7892444,0.9999999,0.9999999,0,3.943999,2.701466,3.322732,1,1,1,1,1,0,0.1453123
11.88853,Default,CortarCacau,Wall,17660,Barrier,0.8431978,1.235331,1.008309,-0.9999999,0,0,1.397575,0.05395333,1.598593,-0.08638327,0.5647241,-0.2599229,0.7832795,0.9999999,0.9999999,0,3.951807,2.704451,3.328129,1,1,1,1,1,0,0.2083206
11.94524,Default,CortarCacau,Wall,17660,Barrier,0.8431981,1.237707,0.9959509,-0.9999999,0,0,1.386472,0.05435446,1.597409,-0.08601241,0.5689576,-0.2594369,0.7803715,0.9999999,0.9999999,0,3.968661,2.714232,3.341447,1,1,1,1,1,0,0.2650375
12.01172,Default,CortarCacau,Wall,17660,Barrier,0.8431981,1.388219,1.106998,-0.9999999,0,0,1.444656,0.05496271,1.59683,-0.08556166,0.5456213,-0.1444021,0.825497,0.9999999,0.9999999,0,3.973214,2.62638,3.299797,1,1,1,1,1,0,0.3315163
12.07915,Default,CortarCacau,Wall,17660,Barrier,0.8431979,1.480045,1.20579,-0.9999999,0,0,1.517332,0.05461902,1.596463,-0.08529019,0.5197141,-0.0767254,0.850888,0.9999999,0.9999999,0,3.72666,2.445131,3.085896,1,1,1,1,1,0,0.3989487
12.14913,Default,CortarCacau,Wall,17660,Barrier,0.8431979,1.467313,1.212944,-0.9999999,0,0,1.524699,0.0537738,1.596659,-0.08504959,0.5177573,-0.08483376,0.8513111,0.9999999,0.9999999,0,3.443533,2.252502,2.848017,1,1,1,1,1,0,0.4689283
