SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
6.464701,Default,CortarCacau,Checker,17740,Floor,0.5073996,0.4,2.504364,0,1,0,2.562654,-0.01613351,0.8179793,0.03082354,0.2042933,-0.1631041,0.9652261,0.9999999,0.9999999,0,3.804848,3.015392,3.41012,1,1,1,1,1,1,0
6.464701,Default,CortarCacau,Wall,17660,Barrier,0.8431979,0.5878388,1.599678,-1,0,0,1.799867,-0.01051081,0.8165345,0.03174906,0.4743177,-0.1270626,0.871136,0.9999999,0.9999999,0,3.895246,3.19799,3.546618,1,1,1,1,1,1,0
6.484701,Default,CortarCacau,Wall,17660,Barrier,0.8431979,0.5866165,1.592571,-1,0,0,1.793401,-0.009812844,0.8164883,0.03186039,0.4756387,-0.1281765,0.870252,0.9999999,0.9999999,0,3.888514,3.198352,3.543433,1,1,1,1,1,0,0.01999998
6.551326,Default,CortarCacau,Wall,17660,Barrier,0.8431979,0.5511262,1.718636,-1,0,0,1.907489,-0.007812234,0.8163233,0.03222965,0.4461416,-0.1390294,0.8840976,0.9999999,0.9999999,0,3.912372,3.209249,3.560811,1,1,1,1,1,0,0.0866251
6.601186,Default,CortarCacau,Wall,17660,Barrier,0.8431979,0.5167089,1.895576,-1,0,0,2.069608,-0.006594199,0.8161495,0.03238876,0.4106053,-0.1446847,0.9002609,0.9999999,0.9999999,0,3.963705,3.139274,3.55149,1,1,1,1,1,0,0.1364851
6.669734,Default,CortarCacau,Wall,17660,Barrier,0.8431981,0.4890875,1.946208,-1,0,0,2.118385,-0.004571832,0.8157914,0.03254452,0.4001962,-0.1542231,0.9033594,0.9999999,0.9999999,0,4.013037,3.172824,3.592931,1,1,1,1,1,0,0.2050328
6.737075,Default,CortarCacau,Wall,17660,Barrier,0.8431979,0.4849623,1.947597,-1,0,0,2.119383,-0.002553022,0.81557,0.03260602,0.3990553,-0.1559924,0.9035603,0.9999999,0.9999999,0,4.027213,3.179472,3.603343,1,1,1,1,1,0,0.2723742
6.801492,Default,CortarCacau,Wall,17660,Barrier,0.8431981,0.4850345,1.95347,-1,0,0,2.123883,-0.0007941555,0.8154975,0.03270163,0.3973816,-0.1555938,0.9043663,0.9999999,0.9999999,0,3.957572,3.154064,3.555818,1,1,1,1,1,0,0.336791
6.870471,Default,CortarCacau,Wall,17660,Barrier,0.8431979,0.4722985,1.968231,-1,0,0,2.138757,0.0003089197,0.8154272,0.03275161,0.3941023,-0.1604337,0.9049555,0.9999999,0.9999999,0,3.849772,3.007801,3.428787,1,1,1,1,1,0,0.4057698
6.940304,Default,CortarCacau,Wall,17660,Barrier,0.8431979,0.4519339,1.983032,-1,0,0,2.155373,0.000890309,0.8154267,0.03264272,0.3907945,-0.168645,0.904897,0.9999999,0.9999999,0,3.635158,2.838948,3.237053,1,1,1,1,1,0,0.4756031
7.001098,Default,CortarCacau,Wall,17660,Barrier,0.8431979,0.4346977,2.027733,-1,0,0,2.198981,0.0009091683,0.8155417,0.03248227,0.3830359,-0.1731912,0.9073524,0.9999999,0.9999999,0,3.453311,2.718718,3.086014,1,1,1,1,1,0,0.536397
7.059506,Default,CortarCacau,Checker,17740,Floor,0.3421817,0.4,1.829844,0,1,0,1.876339,0.0006602034,0.8157473,0.03229978,0.1820148,-0.2215736,0.9580061,0.9999999,0.9999999,0,3.484875,2.528388,3.006631,1,1,1,1,1,1,0
7.124959,Default,CortarCacau,Checker,17740,Floor,-0.02756989,0.4,1.851529,0,1,0,1.86932,-0.002793632,0.8077462,0.02738945,-0.01325417,-0.2181254,0.9758307,0.9999999,0.9999999,0,2.194237,2.519929,2.357083,1,1,1,1,1,0,0.06545305
7.193471,Default,CortarCacau,Checker,17740,Floor,-0.01209921,0.4,2.003184,0,1,0,2.017642,-0.003922658,0.8077766,0.02719466,-0.004052529,-0.2021055,0.9793553,0.9999999,0.9999999,0,2.153637,2.469845,2.311741,1,1,1,1,1,0,0.1339645
7.259471,Default,CortarCacau,Checker,17740,Floor,-0.0309881,0.4,2.124399,0,1,0,2.136914,-0.005146064,0.8078926,0.02693567,-0.01209315,-0.1908793,0.9815391,0.9999999,0.9999999,0,2.099494,2.448192,2.273843,1,1,1,1,1,0,0.199965
7.324797,Default,CortarCacau,Checker,17740,Floor,-0.06271058,0.4,2.219276,0,1,0,2.230949,-0.006360445,0.8081399,0.02670154,-0.02525835,-0.1829445,0.9827987,0.9999999,0.9999999,0,2.073578,2.410647,2.242113,1,1,1,1,1,0,0.2652903
7.391824,Default,CortarCacau,Checker,17740,Floor,-0.085549,0.4,2.251535,0,1,0,2.263528,-0.007588893,0.8083761,0.02651495,-0.03444187,-0.1804157,0.9829873,0.9999999,0.9999999,0,2.041534,2.395231,2.218383,1,1,1,1,1,0,0.3323174
7.44773,Default,CortarCacau,Checker,17740,Floor,-0.08407265,0.4,2.297908,0,1,0,2.30918,-0.008359035,0.8085245,0.0264131,-0.03278809,-0.1769132,0.9836802,0.9999999,0.9999999,0,1.995722,2.357816,2.176769,1,1,1,1,1,0,0.3882236
7.513577,Default,CortarCacau,Checker,17740,Floor,-0.0520882,0.4,2.353016,0,1,0,2.3626,-0.009165813,0.8084666,0.02638938,-0.01816743,-0.1728886,0.9847738,0.9999999,0.9999999,0,2.010712,2.337289,2.174001,1,1,1,1,1,0,0.4540701
7.580522,Default,CortarCacau,Checker,17740,Floor,-0.02274424,0.4,2.436659,0,1,0,2.444627,-0.009734168,0.8083761,0.02641817,-0.00532192,-0.1670505,0.985934,0.9999999,0.9999999,0,2.02166,2.371581,2.19662,1,1,1,1,1,0,0.5210152
7.650053,Default,CortarCacau,Wall,17660,Barrier,0.241697,1.115018,4.357419,4.20458E-07,0,-1,4.349072,-0.01018857,0.8082254,0.02649975,0.05791706,0.07054213,0.995826,0.9999999,0.9999999,0,4.989943,3.577935,4.283939,1,1,1,1,1,1,0
7.714002,Default,CortarCacau,Wall,17660,Barrier,0.6670744,1.28771,4.357419,4.20458E-07,0,-1,4.409577,-0.01065965,0.8081687,0.02670485,0.1536959,0.10875,0.9821156,0.9999999,0.9999999,0,2.055892,2.506698,2.281295,1,1,1,1,1,0,0.06394958
7.781135,Default,CortarCacau,Wall,17660,Barrier,0.3866892,0.6104368,4.357418,4.20458E-07,0,-1,4.353187,-0.01103912,0.8081897,0.02695125,0.09136489,-0.04542716,0.9947808,0.9999999,0.9999999,0,2.056791,2.31105,2.18392,1,1,1,1,1,0,0.1310821
7.85121,Default,CortarCacau,Wall,17660,Barrier,0.2735393,0.5355806,4.357418,4.20458E-07,0,-1,4.348123,-0.01136392,0.8081657,0.02721064,0.06552327,-0.06269029,0.9958798,0.9999999,0.9999999,0,2.027105,2.303573,2.165339,1,1,1,1,1,0,0.2011571
7.90426,Default,CortarCacau,Wall,17660,Barrier,0.2662101,0.5310959,4.357418,4.20458E-07,0,-1,4.34773,-0.01166356,0.8079933,0.02742189,0.06391232,-0.06368779,0.9959212,0.9999999,0.9999999,0,2.085795,2.322039,2.203917,1,1,1,1,1,0,0.2542071
7.973165,Default,CortarCacau,Wall,17660,Barrier,0.2852021,0.5069557,4.357419,4.20458E-07,0,-1,4.350255,-0.01208816,0.8077264,0.02776682,0.06833858,-0.06913862,0.9952636,0.9999999,0.9999999,0,2.06627,2.347693,2.206981,1,1,1,1,1,0,0.323112
8.0379,Default,CortarCacau,Wall,17660,Barrier,0.2753961,0.5069646,4.357418,4.20458E-07,0,-1,4.349246,-0.012586,0.807469,0.02813431,0.06621427,-0.06909344,0.9954103,0.9999999,0.9999999,0,2.056447,2.328159,2.192303,1,1,1,1,1,0,0.3878474
